Latitude,Longitude,Elevation
43.15830000,-79.0586500,184.0
43.15834000,-79.0586300,183.0
43.15838000,-79.0587600,183.0
43.15831000,-79.0591400,185.0
43.15825000,-79.0592700,185.0
43.15807000,-79.0605200,182.0
43.15803000,-79.0605900,183.0
43.15795000,-79.0609100,182.0
43.15789000,-79.0610400,183.0
43.15779000,-79.0611800,185.0
43.15775000,-79.0613100,184.0
43.15764000,-79.0615100,185.0
43.15756000,-79.0617300,186.0
43.15753000,-79.0619700,186.0
43.15750000,-79.0620600,187.0
43.15747000,-79.0623500,185.0
43.15742000,-79.0626800,182.0
43.15726000,-79.0631300,181.0
43.15709000,-79.0635000,182.0
43.15704000,-79.0636800,183.0
43.15699000,-79.0637700,184.0
43.15692000,-79.0640400,182.0
43.15684000,-79.0642000,181.0
43.15682000,-79.0643000,180.0
43.15676000,-79.0644100,180.0
43.15673000,-79.0645100,179.0
43.15666000,-79.0646100,180.0
43.15648000,-79.0649900,178.0
43.15643000,-79.0650500,179.0
43.15638000,-79.0651800,179.0
43.15633000,-79.0652400,180.0
43.15628000,-79.0653200,181.0
43.15618000,-79.0655700,182.0
43.15604000,-79.0661400,179.0
43.15596000,-79.0663500,181.0
43.15590000,-79.0665400,182.0
43.15585000,-79.0673700,183.0
43.15582000,-79.0681500,186.0
43.15583000,-79.0683500,185.0
43.15574000,-79.0688200,183.0
43.15571000,-79.0693700,182.0
43.15557000,-79.0700800,183.0
43.15536000,-79.0708600,184.0
43.15537000,-79.0710600,184.0
43.15543000,-79.0713000,184.0
43.15546000,-79.0714900,184.0
43.15545000,-79.0718300,185.0
43.15541000,-79.0722700,186.0
43.15542000,-79.0725000,186.0
43.15538000,-79.0726300,186.0
43.15538000,-79.0726400,186.0
43.15534000,-79.0728200,186.0
43.15512000,-79.0732100,185.0
43.15505000,-79.0734300,183.0
43.15499000,-79.0737700,181.0
43.15499000,-79.0740200,180.0
43.15497000,-79.0741700,179.0
43.15495000,-79.0743600,179.0
43.15495000,-79.0747000,180.0
43.15499000,-79.0749400,180.0
43.15505000,-79.0750700,180.0
43.15529000,-79.0753700,181.0
43.15536000,-79.0755800,181.0
43.15538000,-79.0757800,182.0
43.15535000,-79.0761700,184.0
43.15535000,-79.0761600,183.0
43.15535000,-79.0761700,184.0
43.15530000,-79.0764600,186.0
43.15527000,-79.0775500,188.0
43.15530000,-79.0778900,186.0
43.15529000,-79.0780900,185.0
43.15531000,-79.0783300,185.0
43.15535000,-79.0785700,183.0
43.15544000,-79.0788400,183.0
43.15553000,-79.0790500,183.0
43.15557000,-79.0791900,182.0
43.15564000,-79.0797700,181.0
43.15569000,-79.0800100,182.0
43.15584000,-79.0805100,182.0
43.15589000,-79.0808500,181.0
43.15586000,-79.0818300,180.0
43.15581000,-79.0821200,181.0
43.15569000,-79.0823700,181.0
43.15565000,-79.0826000,182.0
43.15564000,-79.0828000,183.0
43.15568000,-79.0831500,185.0
43.15571000,-79.0832300,185.0
43.15580000,-79.0833900,186.0
43.15586000,-79.0834300,186.0
43.15597000,-79.0835600,185.0
43.15607000,-79.0836000,184.0
43.15625000,-79.0837600,182.0
43.15638000,-79.0838200,181.0
43.15645000,-79.0838400,181.0
43.15654000,-79.0839200,181.0
43.15670000,-79.0840300,181.0
43.15684000,-79.0841800,182.0
43.15691000,-79.0842100,182.0
43.15693000,-79.0842500,182.0
43.15709000,-79.0844300,182.0
43.15712000,-79.0845100,182.0
43.15715000,-79.0847500,181.0
43.15719000,-79.0848900,181.0
43.15726000,-79.0850600,180.0
43.15728000,-79.0851600,179.0
43.15728000,-79.0853600,179.0
43.15723000,-79.0856500,180.0
43.15717000,-79.0858200,181.0
43.15712000,-79.0858900,182.0
43.15702000,-79.0859200,184.0
43.15696000,-79.0859800,185.0
43.15681000,-79.0860100,186.0
43.15678000,-79.0860400,186.0
43.15673000,-79.0861600,186.0
43.15669000,-79.0863500,186.0
43.15667000,-79.0866500,186.0
43.15662000,-79.0868300,186.0
43.15659000,-79.0870700,185.0
43.15657000,-79.0871100,185.0
43.15654000,-79.0872500,185.0
43.15646000,-79.0875200,185.0
43.15644000,-79.0876700,185.0
43.15645000,-79.0877700,185.0
43.15652000,-79.0879400,185.0
43.15657000,-79.0880100,185.0
43.15671000,-79.0882300,183.0
43.15673000,-79.0883300,182.0
43.15674000,-79.0884200,181.0
43.15672000,-79.0885200,181.0
43.15662000,-79.0887200,182.0
43.15658000,-79.0889600,181.0
43.15657000,-79.0891600,180.0
43.15651000,-79.0894400,178.0
43.15636000,-79.0898300,178.0
43.15633000,-79.0900200,176.0
43.15634000,-79.0902300,175.0
43.15631000,-79.0905200,175.0
43.15631000,-79.0905600,174.0
43.15638000,-79.0907400,172.0
43.15636000,-79.0908800,171.0
43.15622000,-79.0910200,177.0
43.15601000,-79.0912900,183.0
43.15594000,-79.0913300,184.0
43.15588000,-79.0914500,185.0
43.15583000,-79.0915100,187.0
43.15564000,-79.0919900,188.0
43.15552000,-79.0923500,188.0
43.15543000,-79.0925600,188.0
43.15524000,-79.0930900,189.0
43.15510000,-79.0935900,189.0
43.15508000,-79.0937300,187.0
43.15520000,-79.0940400,180.0
43.15535000,-79.0941500,174.0
43.15535000,-79.0942100,173.0
43.15533000,-79.0943000,171.0
43.15520000,-79.0945300,170.0
43.15516000,-79.0946200,169.0
43.15511000,-79.0952500,156.0
43.15503000,-79.0954600,155.0
43.15488000,-79.0956900,155.0
43.15480000,-79.0958500,154.0
43.15468000,-79.0959500,156.0
43.15461000,-79.0960800,157.0
43.15456000,-79.0962100,157.0
43.15445000,-79.0963100,158.0
43.15439000,-79.0964400,159.0
43.15425000,-79.0965900,161.0
43.15414000,-79.0967800,160.0
43.15411000,-79.0968700,158.0
43.15393000,-79.0971000,159.0
43.15379000,-79.0973800,158.0
43.15356000,-79.0976900,161.0
43.15343000,-79.0979200,160.0
43.15331000,-79.0980300,161.0
43.15323000,-79.0982700,158.0
43.15319000,-79.0983900,157.0
43.15302000,-79.0985600,158.0
43.15290000,-79.0987500,158.0
43.15281000,-79.0988200,160.0
43.15271000,-79.0990200,158.0
43.15265000,-79.0990800,159.0
43.15252000,-79.0992500,159.0
43.15237000,-79.0993700,159.0
43.15216000,-79.0995400,158.0
43.15205000,-79.0995800,158.0
43.15191000,-79.0997200,155.0
43.15169000,-79.0997500,157.0
43.15152000,-79.0998300,156.0
43.15145000,-79.0998500,157.0
43.15134000,-79.0998200,158.0
43.15105000,-79.0998300,159.0
43.15095000,-79.0998300,158.0
43.15078000,-79.0997500,159.0
43.15064000,-79.0997300,158.0
43.15038000,-79.0995700,157.0
43.15021000,-79.0995800,155.0
43.15006000,-79.0995800,154.0
43.14989000,-79.0994900,156.0
43.14979000,-79.0994900,155.0
43.14973000,-79.0995500,154.0
43.14969000,-79.0995500,153.0
43.14966000,-79.0995300,154.0
43.14962000,-79.0994600,155.0
43.14956000,-79.0994000,156.0
43.14895000,-79.0994000,155.0
43.14878000,-79.0995000,153.0
43.14869000,-79.0996400,151.0
43.14865000,-79.0996600,150.0
43.14857000,-79.0997500,149.0
43.14844000,-79.0999800,147.0
43.14841000,-79.1000100,147.0
43.14837000,-79.1000900,146.0
43.14832000,-79.1001600,145.0
43.14821000,-79.1001800,145.0
43.14811000,-79.1003200,143.0
43.14805000,-79.1003600,143.0
43.14787000,-79.1003500,143.0
43.14769000,-79.1004900,142.0
43.14766000,-79.1005100,142.0
43.14753000,-79.1005200,142.0
43.14730000,-79.1005300,142.0
43.14723000,-79.1014100,144.0
43.14720000,-79.1014600,144.0
43.14658000,-79.1011700,141.0
43.14603000,-79.1010700,144.0
43.14551000,-79.1010400,147.0
43.14499000,-79.1010100,149.0
43.14449000,-79.1010700,151.0
43.14400000,-79.1011300,154.0
43.14350000,-79.1011900,157.0
43.14300000,-79.1012500,163.0
