Latitude,Longitude,Elevation
44.03024000,-80.0578500,407.0
44.03033000,-80.0580300,406.0
44.03045000,-80.0588800,409.0
44.03056000,-80.0597200,416.0
44.03066000,-80.0600700,419.0
44.03058000,-80.0610700,425.0
44.03061000,-80.0613200,426.0
44.03089000,-80.0613000,426.0
44.03109000,-80.0613800,426.0
44.03144000,-80.0614000,427.0
44.03191000,-80.0615000,429.0
44.03197000,-80.0615800,430.0
44.03185000,-80.0627000,435.0
44.03168000,-80.0634300,440.0
44.03150000,-80.0641700,444.0
44.03133000,-80.0649000,450.0
44.03118000,-80.0655900,452.0
44.03102000,-80.0662800,455.0
44.03094000,-80.0670200,457.0
44.03085000,-80.0677500,457.0
44.03078000,-80.0681500,455.0
44.03033000,-80.0683400,453.0
44.02987000,-80.0685200,453.0
44.02977000,-80.0685400,453.0
44.02946000,-80.0685900,448.0
44.02925000,-80.0688000,442.0
44.02919000,-80.0690600,439.0
44.02930000,-80.0690900,441.0
44.02938000,-80.0693700,440.0
44.02943000,-80.0696500,438.0
44.02945000,-80.0698600,437.0
44.02932000,-80.0703700,436.0
44.02929000,-80.0705600,436.0
44.02930000,-80.0707600,436.0
44.02936000,-80.0709900,437.0
44.02946000,-80.0712000,439.0
44.02954000,-80.0713600,439.0
44.02965000,-80.0715100,439.0
44.02977000,-80.0716000,439.0
44.02990000,-80.0716700,439.0
44.03016000,-80.0718100,440.0
44.03043000,-80.0717500,442.0
44.03105000,-80.0717000,446.0
44.03112000,-80.0717300,447.0
44.03115000,-80.0718300,449.0
44.03109000,-80.0719600,450.0
44.03118000,-80.0720400,453.0
44.03129000,-80.0721300,455.0
44.03144000,-80.0721200,456.0
44.03194000,-80.0721800,459.0
44.03225000,-80.0721000,459.0
44.03247000,-80.0720500,459.0
44.03265000,-80.0721200,459.0
44.03282000,-80.0722000,459.0
44.03308000,-80.0721900,460.0
44.03324000,-80.0721800,461.0
44.03341000,-80.0722900,463.0
44.03356000,-80.0723700,465.0
44.03372000,-80.0724600,466.0
44.03379000,-80.0725900,468.0
44.03395000,-80.0726100,469.0
44.03411000,-80.0726000,470.0
44.03434000,-80.0726300,472.0
44.03456000,-80.0728400,476.0
44.03488000,-80.0730600,478.0
44.03499000,-80.0731500,478.0
44.03519000,-80.0731800,477.0
44.03536000,-80.0731700,476.0
44.03556000,-80.0731200,476.0
44.03577000,-80.0731000,476.0
44.03589000,-80.0730100,476.0
44.03597000,-80.0729500,476.0
44.03612000,-80.0729800,476.0
44.03638000,-80.0730000,478.0
44.03676000,-80.0730200,481.0
44.03730000,-80.0730400,485.0
44.03752000,-80.0731200,488.0
44.03771000,-80.0731200,490.0
44.03794000,-80.0730500,492.0
44.03819000,-80.0730400,493.0
44.03841000,-80.0730900,495.0
44.03867000,-80.0731200,496.0
44.03882000,-80.0730900,495.0
44.03904000,-80.0730000,494.0
44.03926000,-80.0730000,494.0
44.03956000,-80.0729900,495.0
44.03972000,-80.0730000,496.0
44.03992000,-80.0730100,496.0
44.04022000,-80.0730400,494.0
44.04030000,-80.0730900,493.0
44.04045000,-80.0731200,492.0
44.04090000,-80.0731200,489.0
44.04129000,-80.0732100,487.0
44.04161000,-80.0733600,486.0
44.04185000,-80.0735300,486.0
44.04215000,-80.0735700,485.0
44.04249000,-80.0737100,487.0
44.04286000,-80.0736400,488.0
44.04297000,-80.0736700,489.0
44.04316000,-80.0737000,492.0
44.04331000,-80.0737600,493.0
44.04344000,-80.0738200,492.0
44.04341000,-80.0739600,493.0
44.04325000,-80.0741800,494.0
44.04319000,-80.0742600,494.0
44.04314000,-80.0744300,494.0
44.04300000,-80.0746400,493.0
44.04290000,-80.0748400,492.0
44.04286000,-80.0750800,491.0
44.04277000,-80.0754100,491.0
44.04266000,-80.0757700,492.0
44.04265000,-80.0758100,492.0
44.04258000,-80.0760000,493.0
44.04256000,-80.0761300,493.0
44.04254000,-80.0762600,493.0
44.04254000,-80.0762700,493.0
44.04267000,-80.0763000,493.0
44.04273000,-80.0762600,493.0
44.04281000,-80.0763000,493.0
44.04322000,-80.0763800,492.0
44.04340000,-80.0764500,491.0
44.04353000,-80.0764800,489.0
44.04392000,-80.0765800,485.0
44.04396000,-80.0765800,484.0
44.04407000,-80.0765900,483.0
44.04431000,-80.0766400,482.0
44.04496000,-80.0768500,483.0
44.04503000,-80.0768500,483.0
44.04508000,-80.0768800,483.0
44.04511000,-80.0769100,483.0
44.04506000,-80.0770300,483.0
44.04492000,-80.0771800,484.0
44.04483000,-80.0774200,484.0
44.04487000,-80.0776500,485.0
44.04476000,-80.0780900,489.0
44.04471000,-80.0782800,491.0
44.04468000,-80.0786200,494.0
44.04462000,-80.0789500,495.0
44.04456000,-80.0792900,494.0
44.04444000,-80.0797000,494.0
44.04434000,-80.0801400,494.0
44.04428000,-80.0804100,494.0
44.04427000,-80.0806500,494.0
44.04422000,-80.0808900,494.0
44.04412000,-80.0811300,494.0
44.04402000,-80.0814400,494.0
44.04393000,-80.0819900,496.0
44.04376000,-80.0827500,498.0
44.04359000,-80.0835200,501.0
44.04349000,-80.0839900,506.0
44.04346000,-80.0841300,508.0
44.04343000,-80.0843800,509.0
44.04338000,-80.0846300,510.0
44.04331000,-80.0848500,510.0
44.04325000,-80.0850200,510.0
44.04315000,-80.0852900,509.0
44.04314000,-80.0854900,508.0
44.04316000,-80.0857800,507.0
44.04312000,-80.0862600,505.0
44.04307000,-80.0863400,504.0
44.04299000,-80.0867100,502.0
44.04296000,-80.0867100,502.0
44.04294000,-80.0869000,501.0
44.04269000,-80.0874800,498.0
44.04273000,-80.0878000,498.0
44.04262000,-80.0882300,497.0
44.04258000,-80.0887700,495.0
44.04251000,-80.0889200,495.0
44.04249000,-80.0891700,494.0
44.04232000,-80.0897100,492.0
44.04209000,-80.0907000,493.0
44.04200000,-80.0911100,493.0
44.04198000,-80.0912000,493.0
44.04187000,-80.0916800,494.0
44.04179000,-80.0919900,494.0
44.04163000,-80.0923500,494.0
44.04157000,-80.0924600,493.0
44.04151000,-80.0925900,493.0
44.04142000,-80.0928000,493.0
44.04132000,-80.0930900,494.0
44.04127000,-80.0932400,495.0
44.04144000,-80.0933100,497.0
44.04162000,-80.0934200,499.0
44.04164000,-80.0934400,499.0
44.04170000,-80.0934600,500.0
44.04183000,-80.0935000,501.0
44.04206000,-80.0936100,502.0
44.04222000,-80.0936400,503.0
44.04229000,-80.0936500,503.0
44.04267000,-80.0937500,506.0
44.04312000,-80.0938200,508.0
44.04365000,-80.0939300,506.0
44.04400000,-80.0940300,502.0
44.04412000,-80.0940500,501.0
44.04421000,-80.0940500,500.0
44.04434000,-80.0940800,498.0
44.04435000,-80.0940400,498.0
44.04547000,-80.0943300,502.0
44.04566000,-80.0943800,504.0
44.04607000,-80.0945000,506.0
44.04670000,-80.0946500,503.0
44.04670000,-80.0946300,503.0
44.04673000,-80.0946400,502.0
44.04720000,-80.0947500,497.0
44.04767000,-80.0948700,493.0
44.04814000,-80.0949800,493.0
44.04861000,-80.0951000,495.0
44.04908000,-80.0952100,496.0
44.04955000,-80.0953200,495.0
44.05002000,-80.0954400,496.0
44.05049000,-80.0955500,498.0
44.05096000,-80.0956700,498.0
44.05143000,-80.0957800,496.0
44.05192000,-80.0959000,494.0
44.05240000,-80.0960200,495.0
44.05289000,-80.0961400,496.0
44.05337000,-80.0962600,496.0
44.05386000,-80.0963800,497.0
44.05434000,-80.0965000,499.0
44.05483000,-80.0966200,498.0
44.05531000,-80.0967400,497.0
44.05580000,-80.0968600,496.0
44.05626000,-80.0969800,495.0
44.05672000,-80.0970900,496.0
44.05718000,-80.0972100,496.0
44.05764000,-80.0973200,497.0
44.05811000,-80.0974400,500.0
44.05857000,-80.0975500,504.0
44.05903000,-80.0976700,508.0
44.05949000,-80.0977800,512.0
44.05995000,-80.0979000,512.0
44.06041000,-80.0980100,509.0
44.06087000,-80.0981200,505.0
44.06132000,-80.0982400,505.0
44.06178000,-80.0983500,505.0
44.06223000,-80.0984600,504.0
44.06269000,-80.0985800,505.0
44.06314000,-80.0986900,507.0
44.06360000,-80.0988000,508.0
44.06405000,-80.0989200,510.0
44.06451000,-80.0990300,513.0
44.06444000,-80.0993700,513.0
44.06450000,-80.0992400,513.0
44.06447000,-80.0994500,514.0
44.06444000,-80.0995500,513.0
44.06448000,-80.0996800,514.0
44.06454000,-80.1000500,513.0
44.06472000,-80.1004500,514.0
44.06480000,-80.1007100,512.0
44.06486000,-80.1008100,512.0
44.06495000,-80.1008900,512.0
44.06498000,-80.1009600,511.0
44.06516000,-80.1013900,511.0
44.06532000,-80.1015200,512.0
44.06573000,-80.1016000,510.0
44.06613000,-80.1016300,507.0
44.06723000,-80.1018500,505.0
44.06703000,-80.1032700,509.0
44.06726000,-80.1036600,509.0
44.06761000,-80.1039400,508.0
44.06763000,-80.1041700,510.0
44.06683000,-80.1077700,503.0
44.06685000,-80.1079700,502.0
44.06692000,-80.1080400,502.0
44.06734000,-80.1080700,504.0
44.06756000,-80.1081500,505.0
44.06799000,-80.1082100,507.0
44.06828000,-80.1083200,510.0
44.06873000,-80.1084100,514.0
44.06878000,-80.1084700,514.0
44.06920000,-80.1085200,516.0
44.06948000,-80.1086400,515.0
44.06953000,-80.1086200,515.0
44.06992000,-80.1086800,511.0
44.07018000,-80.1087700,508.0
44.07089000,-80.1089000,506.0
44.07121000,-80.1090400,505.0
44.07152000,-80.1090800,503.0
44.07178000,-80.1091700,501.0
44.07203000,-80.1092000,499.0
