Latitude,Longitude,Elevation
44.27062000,-80.1479700,460.0
44.27049000,-80.1485900,460.0
44.27036000,-80.1492100,458.0
44.27022000,-80.1498300,453.0
44.27009000,-80.1504500,445.0
44.26996000,-80.1510800,442.0
44.26983000,-80.1517000,439.0
44.26969000,-80.1523200,438.0
44.26956000,-80.1529400,438.0
44.26943000,-80.1535600,440.0
44.26930000,-80.1541800,441.0
44.26916000,-80.1548000,442.0
44.26903000,-80.1554200,445.0
44.26890000,-80.1560500,448.0
44.26877000,-80.1566700,456.0
44.26863000,-80.1572900,459.0
44.26850000,-80.1579100,460.0
44.26837000,-80.1585300,459.0
44.26824000,-80.1591500,456.0
44.26810000,-80.1597700,457.0
44.26797000,-80.1603900,459.0
44.26784000,-80.1610200,460.0
44.26771000,-80.1616400,462.0
44.26757000,-80.1622600,462.0
44.26744000,-80.1628800,464.0
44.26731000,-80.1635000,466.0
44.26718000,-80.1642600,464.0
44.26705000,-80.1650200,466.0
44.26754000,-80.1651300,466.0
44.26803000,-80.1652500,465.0
44.26852000,-80.1653700,464.0
44.26901000,-80.1654800,465.0
44.26949000,-80.1656000,467.0
44.26998000,-80.1657100,468.0
44.27047000,-80.1658300,466.0
44.27096000,-80.1659400,468.0
44.27141000,-80.1660400,474.0
44.27187000,-80.1661400,480.0
44.27232000,-80.1662400,483.0
44.27278000,-80.1663400,484.0
44.27323000,-80.1664400,482.0
44.27368000,-80.1665400,482.0
44.27414000,-80.1666400,482.0
44.27459000,-80.1667400,480.0
44.27500000,-80.1667600,479.0
44.27513000,-80.1669700,480.0
44.27550000,-80.1671500,479.0
44.27568000,-80.1674800,480.0
44.27587000,-80.1675400,480.0
44.27608000,-80.1675800,479.0
44.27610000,-80.1676400,480.0
44.27618000,-80.1677000,481.0
44.27634000,-80.1677500,482.0
44.27642000,-80.1677700,483.0
44.27659000,-80.1677500,483.0
44.27665000,-80.1677900,483.0
44.27683000,-80.1678500,484.0
44.27733000,-80.1675000,486.0
44.27768000,-80.1675200,488.0
44.27769000,-80.1677900,488.0
44.27777000,-80.1680200,488.0
44.27782000,-80.1683100,487.0
44.27795000,-80.1684700,487.0
44.27806000,-80.1688300,485.0
44.27805000,-80.1694900,487.0
44.27801000,-80.1696100,488.0
44.27808000,-80.1697000,487.0
44.27867000,-80.1698800,484.0
44.27908000,-80.1699600,486.0
44.27946000,-80.1699200,486.0
44.27950000,-80.1700300,487.0
44.27987000,-80.1703000,487.0
44.28033000,-80.1701200,487.0
44.28043000,-80.1702900,487.0
44.28057000,-80.1703200,488.0
44.28071000,-80.1702400,488.0
44.28078000,-80.1702900,488.0
44.28081000,-80.1708500,488.0
44.28073000,-80.1711700,489.0
44.28077000,-80.1712000,489.0
44.28068000,-80.1716200,488.0
44.28037000,-80.1722000,486.0
44.28006000,-80.1727700,486.0
44.27969000,-80.1730200,488.0
44.27967000,-80.1731500,487.0
44.27936000,-80.1738100,486.0
44.27905000,-80.1744600,485.0
44.27903000,-80.1751600,484.0
44.27858000,-80.1757300,487.0
44.27853000,-80.1759200,487.0
44.27842000,-80.1761800,487.0
44.27842000,-80.1763700,486.0
44.27801000,-80.1771000,485.0
44.27791000,-80.1775000,484.0
44.27769000,-80.1777600,486.0
44.27767000,-80.1780700,485.0
44.27742000,-80.1785200,485.0
44.27743000,-80.1787100,484.0
44.27733000,-80.1788600,484.0
44.27729000,-80.1791200,484.0
44.27721000,-80.1792200,485.0
44.27721000,-80.1793200,485.0
44.27696000,-80.1796300,485.0
44.27686000,-80.1801300,485.0
44.27661000,-80.1807700,485.0
44.27638000,-80.1811500,488.0
44.27641000,-80.1813400,487.0
44.27633000,-80.1815400,488.0
44.27623000,-80.1816700,489.0
44.27613000,-80.1822200,486.0
44.27593000,-80.1824700,489.0
44.27581000,-80.1828700,488.0
44.27573000,-80.1828800,490.0
44.27523000,-80.1835500,487.0
44.27496000,-80.1836100,492.0
44.27459000,-80.1841000,494.0
44.27422000,-80.1845800,493.0
44.27402000,-80.1847400,494.0
44.27364000,-80.1849100,498.0
44.27313000,-80.1852400,495.0
44.27297000,-80.1851200,499.0
44.27228000,-80.1858500,493.0
44.27221000,-80.1858100,495.0
44.27209000,-80.1859000,495.0
44.27204000,-80.1860000,495.0
44.27183000,-80.1861000,496.0
44.27179000,-80.1862700,494.0
44.27179000,-80.1864600,492.0
44.27175000,-80.1864900,492.0
44.27165000,-80.1864300,494.0
44.27153000,-80.1865200,495.0
44.27150000,-80.1866600,493.0
44.27128000,-80.1869100,492.0
44.27122000,-80.1871600,489.0
44.27086000,-80.1877400,485.0
44.27088000,-80.1878500,484.0
44.27087000,-80.1884000,480.0
44.27087000,-80.1886500,479.0
44.27099000,-80.1890100,475.0
44.27103000,-80.1891800,473.0
44.27099000,-80.1894300,471.0
44.27103000,-80.1895000,470.0
44.27094000,-80.1898100,466.0
44.27085000,-80.1899000,466.0
44.27082000,-80.1901200,465.0
44.27086000,-80.1902200,464.0
44.27086000,-80.1903600,463.0
44.27076000,-80.1911500,460.0
44.27096000,-80.1915200,455.0
44.27094000,-80.1919000,451.0
44.27088000,-80.1922500,450.0
44.27087000,-80.1925300,449.0
44.27081000,-80.1926500,450.0
44.27077000,-80.1928400,450.0
44.27081000,-80.1929600,448.0
44.27072000,-80.1937800,443.0
44.27040000,-80.1941600,449.0
44.27026000,-80.1946700,448.0
44.27014000,-80.1949200,448.0
44.27012000,-80.1950700,447.0
44.27002000,-80.1951800,448.0
44.27000000,-80.1953800,448.0
44.26989000,-80.1954900,448.0
44.26984000,-80.1956700,447.0
44.26962000,-80.1957700,449.0
44.26955000,-80.1958700,450.0
44.26941000,-80.1959900,451.0
44.26922000,-80.1963000,453.0
44.26918000,-80.1969000,447.0
44.26907000,-80.1971300,448.0
44.26881000,-80.1973400,453.0
44.26879000,-80.1977500,450.0
44.26892000,-80.1978800,447.0
44.26911000,-80.1982700,442.0
44.26934000,-80.1985400,442.0
44.26963000,-80.1986800,442.0
44.26977000,-80.1986700,442.0
44.27002000,-80.1988000,442.0
44.27016000,-80.1987300,440.0
44.27030000,-80.1988500,440.0
44.27060000,-80.1989100,438.0
44.27099000,-80.1990300,436.0
44.27109000,-80.1994000,435.0
44.27120000,-80.1995600,434.0
44.27134000,-80.1998900,434.0
44.27158000,-80.2004000,436.0
44.27194000,-80.2007800,434.0
44.27220000,-80.2008000,432.0
44.27243000,-80.2007000,429.0
44.27306000,-80.2006700,418.0
44.27345000,-80.2009400,404.0
44.27344000,-80.2015500,395.0
44.27353000,-80.2020500,389.0
44.27340000,-80.2025900,396.0
44.27325000,-80.2028300,398.0
44.27304000,-80.2029100,397.0
44.27281000,-80.2035500,410.0
44.27294000,-80.2038300,414.0
44.27291000,-80.2044600,419.0
44.27305000,-80.2051100,425.0
44.27308000,-80.2053000,426.0
44.27310000,-80.2055900,427.0
44.27323000,-80.2058700,431.0
44.27346000,-80.2064200,437.0
44.27366000,-80.2067100,441.0
44.27421000,-80.2070900,450.0
44.27438000,-80.2071200,451.0
44.27459000,-80.2072500,453.0
44.27497000,-80.2071700,454.0
44.27515000,-80.2063200,453.0
44.27532000,-80.2054700,444.0
