Latitude,Longitude,Elevation
44.49570000,-80.3211400,450.0
44.49567000,-80.3211300,450.0
44.49580000,-80.3211400,450.0
44.49590000,-80.3212200,450.0
44.49596000,-80.3212800,450.0
44.49603000,-80.3214300,450.0
44.49609000,-80.3215700,450.0
44.49614000,-80.3216400,450.0
44.49622000,-80.3216800,450.0
44.49632000,-80.3217200,450.0
44.49641000,-80.3217400,451.0
44.49648000,-80.3217300,451.0
44.49654000,-80.3217200,451.0
44.49661000,-80.3217500,451.0
44.49671000,-80.3217600,450.0
44.49683000,-80.3217600,449.0
44.49690000,-80.3217500,449.0
44.49696000,-80.3217100,449.0
44.49699000,-80.3216400,448.0
44.49703000,-80.3215900,448.0
44.49714000,-80.3216000,448.0
44.49742000,-80.3216900,449.0
44.49751000,-80.3217800,448.0
44.49772000,-80.3218900,447.0
44.49784000,-80.3220300,447.0
44.49805000,-80.3222300,448.0
44.49822000,-80.3223900,446.0
44.49834000,-80.3224500,446.0
44.49856000,-80.3225700,444.0
44.49917000,-80.3232700,445.0
44.49954000,-80.3237300,445.0
44.49998000,-80.3241700,446.0
44.50089000,-80.3252700,447.0
44.50097000,-80.3254400,447.0
44.50109000,-80.3255300,446.0
44.50123000,-80.3255700,444.0
44.50150000,-80.3256800,439.0
44.50161000,-80.3258000,438.0
44.50171000,-80.3260200,439.0
44.50183000,-80.3261400,439.0
44.50197000,-80.3262000,438.0
44.50206000,-80.3262700,437.0
44.50220000,-80.3263000,434.0
44.50230000,-80.3263600,432.0
44.50237000,-80.3265300,434.0
44.50241000,-80.3266800,435.0
44.50245000,-80.3268200,435.0
44.50255000,-80.3272600,435.0
44.50259000,-80.3275100,435.0
44.50268000,-80.3280600,428.0
44.50272000,-80.3282600,426.0
44.50274000,-80.3284500,426.0
44.50276000,-80.3285900,426.0
44.50279000,-80.3290000,430.0
44.50284000,-80.3291000,430.0
44.50293000,-80.3291700,429.0
44.50303000,-80.3291800,427.0
44.50318000,-80.3291600,426.0
44.50328000,-80.3291200,424.0
44.50360000,-80.3290600,424.0
44.50386000,-80.3290300,426.0
44.50401000,-80.3290100,426.0
44.50411000,-80.3290400,427.0
44.50417000,-80.3290700,428.0
44.50422000,-80.3292000,430.0
44.50432000,-80.3292500,430.0
44.50448000,-80.3293300,430.0
44.50462000,-80.3293200,428.0
44.50469000,-80.3293500,427.0
44.50465000,-80.3302100,439.0
44.50497000,-80.3310300,437.0
44.50529000,-80.3318400,438.0
44.50549000,-80.3324700,440.0
44.50569000,-80.3331000,440.0
44.50603000,-80.3336300,444.0
44.50636000,-80.3341500,445.0
44.50670000,-80.3346800,445.0
44.50704000,-80.3352100,446.0
44.50737000,-80.3357300,445.0
44.50771000,-80.3362600,444.0
44.50797000,-80.3370000,447.0
44.50824000,-80.3377300,450.0
44.50850000,-80.3384700,451.0
44.50887000,-80.3390700,453.0
44.50924000,-80.3396700,449.0
44.50961000,-80.3402700,449.0
44.50973000,-80.3411100,448.0
44.50947000,-80.3418500,451.0
44.50921000,-80.3425900,452.0
44.50949000,-80.3431100,452.0
44.50977000,-80.3436200,450.0
44.50985000,-80.3443700,448.0
44.51046000,-80.3449900,447.0
44.51049000,-80.3453600,448.0
44.51071000,-80.3455500,446.0
44.51100000,-80.3456100,444.0
44.51142000,-80.3460400,442.0
44.51184000,-80.3464700,438.0
44.51206000,-80.3471600,434.0
44.51228000,-80.3478500,434.0
44.51249000,-80.3485300,438.0
44.51271000,-80.3492200,444.0
44.51268000,-80.3500700,447.0
44.51264000,-80.3509100,446.0
44.51288000,-80.3519900,446.0
44.51277000,-80.3527200,447.0
44.51204000,-80.3534000,444.0
44.51185000,-80.3540300,443.0
44.51165000,-80.3546600,442.0
44.51146000,-80.3552900,440.0
44.51172000,-80.3555900,440.0
44.51179000,-80.3561500,439.0
44.51210000,-80.3563400,439.0
44.51210000,-80.3565800,437.0
44.51207000,-80.3575000,425.0
44.51273000,-80.3580000,419.0
44.51317000,-80.3589200,411.0
44.51363000,-80.3599500,402.0
44.51386000,-80.3600300,400.0
44.51397000,-80.3606100,396.0
44.51417000,-80.3611100,392.0
44.51464000,-80.3608700,387.0
44.51490000,-80.3607000,383.0
44.51504000,-80.3609100,382.0
44.51467000,-80.3613800,390.0
44.51431000,-80.3618600,393.0
44.51394000,-80.3623300,398.0
44.51340000,-80.3626100,401.0
44.51329000,-80.3629100,401.0
44.51280000,-80.3629500,405.0
44.51276000,-80.3635300,411.0
44.51248000,-80.3635500,415.0
44.51248000,-80.3633800,415.0
44.51210000,-80.3638700,418.0
44.51219000,-80.3640900,419.0
44.51226000,-80.3649300,418.0
44.51233000,-80.3657600,423.0
44.51279000,-80.3655900,415.0
44.51325000,-80.3654200,408.0
44.51371000,-80.3652500,400.0
44.51428000,-80.3654000,401.0
44.51484000,-80.3655500,415.0
44.51499000,-80.3648600,421.0
44.51551000,-80.3648600,437.0
44.51554000,-80.3640500,437.0
44.51596000,-80.3636000,438.0
44.51637000,-80.3631400,437.0
44.51684000,-80.3632200,437.0
44.51731000,-80.3632900,440.0
44.51778000,-80.3633700,439.0
44.51825000,-80.3634500,439.0
44.51857000,-80.3639000,444.0
44.51892000,-80.3640000,444.0
44.51915000,-80.3646700,446.0
44.51937000,-80.3653300,444.0
44.51978000,-80.3657900,443.0
44.52018000,-80.3662600,441.0
44.52024000,-80.3668400,442.0
44.52021000,-80.3670700,443.0
44.52032000,-80.3673900,443.0
44.52099000,-80.3677200,440.0
44.52137000,-80.3682000,439.0
44.52176000,-80.3686900,436.0
44.52214000,-80.3691700,435.0
44.52240000,-80.3692600,435.0
44.52261000,-80.3700800,437.0
44.52261000,-80.3707200,436.0
44.52347000,-80.3710200,437.0
44.52382000,-80.3716600,436.0
44.52413000,-80.3725200,437.0
44.52411000,-80.3733900,437.0
44.52408000,-80.3742600,434.0
44.52413000,-80.3751800,436.0
44.52434000,-80.3757600,436.0
44.52454000,-80.3763400,437.0
44.52452000,-80.3769000,436.0
44.52472000,-80.3774600,436.0
44.52488000,-80.3784900,436.0
44.52498000,-80.3785700,434.0
44.52498000,-80.3793500,435.0
44.52419000,-80.3799500,441.0
44.52419000,-80.3807600,443.0
44.52377000,-80.3812600,443.0
44.52334000,-80.3817600,442.0
44.52292000,-80.3822600,443.0
44.52287000,-80.3829000,443.0
44.52281000,-80.3835300,441.0
44.52276000,-80.3841700,439.0
44.52232000,-80.3849500,441.0
44.52201000,-80.3856500,440.0
44.52169000,-80.3863400,439.0
44.52110000,-80.3865100,441.0
44.52051000,-80.3866800,438.0
44.51999000,-80.3864800,437.0
44.51946000,-80.3862800,438.0
44.51905000,-80.3859100,440.0
44.51865000,-80.3855500,442.0
44.51824000,-80.3851800,440.0
44.51773000,-80.3850000,439.0
44.51721000,-80.3848200,438.0
44.51706000,-80.3846700,437.0
44.51674000,-80.3846700,434.0
44.51627000,-80.3845600,430.0
44.51579000,-80.3844500,425.0
44.51565000,-80.3838300,426.0
44.51550000,-80.3832100,427.0
44.51487000,-80.3824600,418.0
44.51452000,-80.3819600,409.0
44.51450000,-80.3813400,404.0
44.51435000,-80.3815600,402.0
44.51413000,-80.3814900,397.0
44.51383000,-80.3817300,393.0
44.51355000,-80.3811300,401.0
44.51285000,-80.3812600,400.0
44.51234000,-80.3810800,394.0
44.51172000,-80.3812100,387.0
44.51153000,-80.3811900,385.0
44.51153000,-80.3807000,389.0
44.51114000,-80.3804400,385.0
44.51091000,-80.3805500,381.0
44.51075000,-80.3803800,380.0
44.51002000,-80.3803800,371.0
44.50973000,-80.3803800,372.0
44.50948000,-80.3801400,376.0
44.50889000,-80.3800500,383.0
44.50912000,-80.3793200,382.0
44.50904000,-80.3787700,383.0
44.50867000,-80.3783800,388.0
44.50889000,-80.3780600,387.0
44.50896000,-80.3770300,388.0
44.50883000,-80.3761400,390.0
44.50869000,-80.3752500,392.0
44.50808000,-80.3750100,397.0
44.50775000,-80.3741100,398.0
44.50739000,-80.3736600,401.0
44.50722000,-80.3737700,402.0
44.50674000,-80.3736700,406.0
44.50627000,-80.3735700,413.0
44.50579000,-80.3734700,429.0
44.50531000,-80.3733700,439.0
44.50483000,-80.3732700,444.0
44.50436000,-80.3731700,443.0
44.50388000,-80.3730700,441.0
44.50340000,-80.3729700,439.0
44.50292000,-80.3728700,439.0
44.50245000,-80.3727700,441.0
44.50197000,-80.3726700,443.0
44.50148000,-80.3725700,443.0
44.50098000,-80.3724600,443.0
44.50049000,-80.3723600,443.0
44.50000000,-80.3722500,445.0
44.49950000,-80.3721500,447.0
44.49901000,-80.3720400,453.0
44.49852000,-80.3719400,457.0
44.49802000,-80.3718300,467.0
44.49753000,-80.3717300,472.0
44.49700000,-80.3716000,473.0
44.49646000,-80.3714700,475.0
44.49631000,-80.3720900,476.0
44.49616000,-80.3727200,475.0
44.49600000,-80.3733400,475.0
44.49585000,-80.3739600,475.0
44.49571000,-80.3745800,475.0
44.49558000,-80.3752000,477.0
44.49544000,-80.3758100,477.0
44.49530000,-80.3764300,479.0
44.49517000,-80.3770500,476.0
44.49503000,-80.3776700,475.0
44.49489000,-80.3782900,475.0
44.49475000,-80.3789000,478.0
44.49462000,-80.3795200,478.0
44.49448000,-80.3801400,475.0
44.49404000,-80.3801000,471.0
44.49372000,-80.3796900,470.0
44.49320000,-80.3798400,463.0
44.49270000,-80.3796700,459.0
44.49219000,-80.3794900,458.0
44.49169000,-80.3793200,458.0
44.49118000,-80.3791500,454.0
44.49065000,-80.3790200,455.0
44.49013000,-80.3789000,455.0
44.48960000,-80.3787700,452.0
44.48907000,-80.3786400,448.0
44.48860000,-80.3785400,445.0
44.48813000,-80.3784400,443.0
44.48766000,-80.3783300,441.0
44.48719000,-80.3782300,439.0
44.48671000,-80.3781300,441.0
44.48624000,-80.3780300,443.0
44.48577000,-80.3779200,444.0
44.48530000,-80.3778200,445.0
44.48487000,-80.3782400,441.0
44.48444000,-80.3786500,436.0
44.48401000,-80.3790700,430.0
44.48453000,-80.3794600,431.0
44.48506000,-80.3798400,433.0
44.48552000,-80.3797700,433.0
44.48597000,-80.3797100,434.0
44.48610000,-80.3803300,433.0
44.48624000,-80.3809400,432.0
44.48637000,-80.3815600,431.0
44.48634000,-80.3825900,430.0
44.48647000,-80.3834100,432.0
44.48659000,-80.3842200,427.0
44.48679000,-80.3848600,425.0
44.48698000,-80.3855000,423.0
44.48656000,-80.3856800,414.0
44.48606000,-80.3859300,402.0
44.48555000,-80.3861900,398.0
44.48509000,-80.3860900,400.0
44.48463000,-80.3860000,405.0
44.48418000,-80.3859000,411.0
44.48372000,-80.3858100,415.0
44.48326000,-80.3857100,417.0
44.48280000,-80.3856200,420.0
44.48235000,-80.3855200,423.0
44.48189000,-80.3854300,426.0
44.48143000,-80.3853300,427.0
44.48097000,-80.3852300,429.0
44.48051000,-80.3851400,432.0
44.48006000,-80.3850400,434.0
44.47960000,-80.3849500,438.0
44.47914000,-80.3848500,438.0
44.47868000,-80.3847600,438.0
44.47823000,-80.3846600,441.0
44.47777000,-80.3845700,447.0
44.47731000,-80.3844700,454.0
44.47684000,-80.3848300,453.0
44.47637000,-80.3851800,453.0
44.47624000,-80.3857900,450.0
44.47612000,-80.3863900,450.0
44.47599000,-80.3870000,450.0
44.47587000,-80.3876100,453.0
44.47574000,-80.3882100,454.0
44.47562000,-80.3888200,456.0
44.47549000,-80.3894300,454.0
44.47537000,-80.3900300,457.0
44.47524000,-80.3906400,459.0
44.47512000,-80.3912500,463.0
44.47499000,-80.3918500,465.0
44.47487000,-80.3924600,465.0
44.47474000,-80.3930700,465.0
44.47462000,-80.3936800,466.0
44.47449000,-80.3942800,464.0
44.47437000,-80.3948900,465.0
44.47424000,-80.3955000,462.0
44.47412000,-80.3961000,456.0
44.47399000,-80.3967100,451.0
44.47387000,-80.3973200,447.0
44.47374000,-80.3979200,444.0
44.47362000,-80.3985300,439.0
44.47349000,-80.3991400,436.0
44.47337000,-80.3997400,433.0
44.47324000,-80.4003500,432.0
44.47278000,-80.4003100,435.0
44.47233000,-80.4002700,438.0
44.47188000,-80.4002200,441.0
44.47142000,-80.4001800,444.0
44.47097000,-80.4001400,448.0
44.47051000,-80.4000900,450.0
44.47005000,-80.4000500,450.0
44.46960000,-80.4000100,451.0
44.46915000,-80.3999700,452.0
44.46869000,-80.3999300,453.0
44.46824000,-80.3998800,455.0
44.46778000,-80.3998400,457.0
44.46781000,-80.3991200,458.0
44.46783000,-80.3984000,458.0
44.46786000,-80.3976700,458.0
44.46788000,-80.3969500,462.0
44.46791000,-80.3962300,465.0
44.46750000,-80.3959400,464.0
44.46709000,-80.3956600,465.0
44.46668000,-80.3953700,467.0
44.46623000,-80.3951600,467.0
44.46578000,-80.3949400,470.0
44.46533000,-80.3947300,472.0
44.46488000,-80.3945000,468.0
44.46443000,-80.3942800,467.0
44.46398000,-80.3940500,468.0
44.46353000,-80.3938300,466.0
44.46350000,-80.3945600,460.0
44.46347000,-80.3952900,455.0
44.46332000,-80.3959400,451.0
