Latitude,Longitude,Elevation
44.74409000,-81.1363400,178.0
44.74414000,-81.1363500,178.0
44.74421000,-81.1363300,177.0
44.74424000,-81.1365100,177.0
44.74428000,-81.1366600,177.0
44.74435000,-81.1368800,177.0
44.74443000,-81.1370400,177.0
44.74479000,-81.1371300,176.0
44.74537000,-81.1376100,176.0
44.74557000,-81.1384600,175.0
44.74564000,-81.1386900,174.0
44.74574000,-81.1389500,174.0
44.74582000,-81.1390900,174.0
44.74608000,-81.1393100,176.0
44.74661000,-81.1397200,178.0
44.74692000,-81.1397800,177.0
44.74716000,-81.1398200,177.0
44.74718000,-81.1400200,179.0
44.74730000,-81.1401800,181.0
44.74741000,-81.1403400,183.0
44.74748000,-81.1404100,184.0
44.74798000,-81.1402800,185.0
44.74809000,-81.1406100,194.0
44.74799000,-81.1403200,186.0
44.74820000,-81.1403600,191.0
44.74957000,-81.1394700,190.0
44.75100000,-81.1385900,190.0
44.75264000,-81.1376400,191.0
44.75374000,-81.1371500,195.0
44.75396000,-81.1370700,197.0
44.75401000,-81.1369800,196.0
44.75420000,-81.1367500,192.0
44.75450000,-81.1365400,190.0
44.75456000,-81.1364600,188.0
44.75476000,-81.1363400,188.0
44.75486000,-81.1362700,189.0
44.75539000,-81.1359300,190.0
44.75545000,-81.1358700,189.0
44.75581000,-81.1358000,188.0
44.75618000,-81.1356200,187.0
44.75631000,-81.1355500,187.0
44.75666000,-81.1354200,189.0
44.75700000,-81.1353000,185.0
44.75719000,-81.1352300,184.0
44.75817000,-81.1347400,185.0
44.75859000,-81.1346700,192.0
44.75862000,-81.1345100,186.0
44.75900000,-81.1343000,184.0
44.75914000,-81.1341200,180.0
44.76004000,-81.1336800,184.0
44.76050000,-81.1335200,185.0
44.76068000,-81.1334000,183.0
44.76126000,-81.1333500,188.0
44.76202000,-81.1331400,195.0
44.76257000,-81.1326300,185.0
44.76290000,-81.1324700,186.0
44.76321000,-81.1323000,185.0
44.76362000,-81.1321300,187.0
44.76396000,-81.1319800,189.0
44.76388000,-81.1321900,197.0
44.76389000,-81.1323700,202.0
44.76399000,-81.1323800,202.0
44.76416000,-81.1322500,200.0
44.76424000,-81.1322400,201.0
44.76465000,-81.1322700,208.0
44.76474000,-81.1321100,207.0
44.76501000,-81.1319900,207.0
44.76542000,-81.1316400,202.0
44.76550000,-81.1319600,206.0
44.76576000,-81.1322300,209.0
44.76596000,-81.1327700,209.0
44.76592000,-81.1329800,210.0
44.76596000,-81.1332200,210.0
44.76607000,-81.1333400,210.0
44.76611000,-81.1336500,212.0
44.76621000,-81.1337400,212.0
44.76621000,-81.1338800,213.0
44.76636000,-81.1341700,213.0
44.76664000,-81.1341900,209.0
44.76685000,-81.1343900,206.0
44.76825000,-81.1346000,204.0
44.76851000,-81.1344600,204.0
44.76857000,-81.1342200,204.0
44.76886000,-81.1339800,205.0
44.76929000,-81.1337800,205.0
44.76951000,-81.1337100,205.0
44.76961000,-81.1332300,204.0
44.76979000,-81.1330200,204.0
44.76981000,-81.1325400,203.0
44.76985000,-81.1321900,201.0
44.77001000,-81.1319900,199.0
44.77046000,-81.1319900,200.0
44.77080000,-81.1318600,197.0
44.77146000,-81.1318800,193.0
44.77158000,-81.1322700,200.0
44.77194000,-81.1327700,200.0
44.77203000,-81.1331200,201.0
44.77219000,-81.1331500,201.0
44.77222000,-81.1332900,201.0
44.77239000,-81.1333700,200.0
44.77240000,-81.1337900,200.0
44.77252000,-81.1339000,200.0
44.77270000,-81.1344000,202.0
44.77845000,-81.1314200,201.0
44.77947000,-81.1303100,202.0
44.77951000,-81.1300000,201.0
44.77951000,-81.1299600,201.0
44.77956000,-81.1296500,200.0
44.77994000,-81.1291000,201.0
44.78001000,-81.1289400,201.0
44.78044000,-81.1283500,203.0
44.78056000,-81.1283400,202.0
44.78067000,-81.1284000,202.0
44.78080000,-81.1283900,201.0
44.78090000,-81.1283200,201.0
44.78101000,-81.1281700,201.0
44.78109000,-81.1278200,201.0
44.78111000,-81.1276200,200.0
44.78115000,-81.1275600,200.0
44.78151000,-81.1265100,195.0
44.78156000,-81.1262700,195.0
44.78187000,-81.1253500,188.0
44.78253000,-81.1256600,195.0
44.78254000,-81.1256300,195.0
44.78274000,-81.1250000,193.0
44.78293000,-81.1243600,192.0
44.78345000,-81.1245400,197.0
44.78398000,-81.1247100,200.0
44.78450000,-81.1248900,200.0
44.78466000,-81.1242700,203.0
44.78481000,-81.1236500,203.0
44.78497000,-81.1230200,203.0
44.78512000,-81.1224000,206.0
44.78511000,-81.1219700,206.0
44.78465000,-81.1218000,202.0
44.78453000,-81.1210300,193.0
44.78442000,-81.1203800,190.0
44.78430000,-81.1197200,192.0
44.78449000,-81.1195700,196.0
44.78488000,-81.1193800,201.0
44.78528000,-81.1186300,205.0
44.78548000,-81.1182200,206.0
44.78548000,-81.1178800,206.0
44.78546000,-81.1176000,205.0
44.78579000,-81.1167600,210.0
44.78583000,-81.1162000,210.0
44.78624000,-81.1157900,210.0
44.78665000,-81.1153700,213.0
44.78680000,-81.1148900,210.0
44.78717000,-81.1144500,215.0
44.78753000,-81.1140000,216.0
44.78790000,-81.1135600,218.0
44.78800000,-81.1130500,212.0
44.78849000,-81.1126600,214.0
44.78886000,-81.1121500,219.0
44.78898000,-81.1117800,218.0
44.78924000,-81.1115300,222.0
44.78926000,-81.1113100,218.0
44.78948000,-81.1109300,216.0
44.78960000,-81.1109100,218.0
44.79000000,-81.1100600,216.0
44.79027000,-81.1098800,220.0
44.79047000,-81.1096000,221.0
44.79051000,-81.1093000,216.0
44.79064000,-81.1091600,219.0
44.79079000,-81.1088800,221.0
44.79086000,-81.1085500,217.0
44.79112000,-81.1082200,216.0
44.79144000,-81.1080100,221.0
44.79151000,-81.1074300,212.0
44.79197000,-81.1068200,216.0
44.79228000,-81.1063000,221.0
44.79258000,-81.1057900,220.0
44.79289000,-81.1052700,220.0
44.79319000,-81.1049900,221.0
44.79353000,-81.1043000,219.0
44.79387000,-81.1036000,213.0
44.79429000,-81.1030500,215.0
44.79472000,-81.1025000,218.0
44.79514000,-81.1019500,222.0
44.79548000,-81.1013000,219.0
44.79583000,-81.1006400,218.0
44.79617000,-81.0999900,216.0
44.79649000,-81.0998000,221.0
44.79664000,-81.0993800,218.0
44.79707000,-81.0989600,219.0
44.79719000,-81.0986800,219.0
44.79740000,-81.0982200,218.0
44.79822000,-81.0974700,221.0
44.79824000,-81.0968700,213.0
44.79887000,-81.0961400,220.0
44.79935000,-81.0953900,218.0
44.79994000,-81.0946400,221.0
44.80056000,-81.0935300,222.0
44.80112000,-81.0928100,223.0
44.80186000,-81.0914900,220.0
44.80214000,-81.0911300,220.0
44.80254000,-81.0905600,221.0
44.80282000,-81.0906200,227.0
44.80312000,-81.0905000,230.0
44.80349000,-81.0905300,235.0
44.80416000,-81.0902000,241.0
44.80480000,-81.0892700,244.0
44.80514000,-81.0883100,246.0
44.80507000,-81.0879400,244.0
44.80525000,-81.0874300,242.0
44.80537000,-81.0867200,237.0
44.80553000,-81.0865200,239.0
44.80608000,-81.0856100,242.0
44.80625000,-81.0851700,238.0
44.80656000,-81.0847000,241.0
44.80665000,-81.0844100,239.0
44.80776000,-81.0830600,246.0
44.80842000,-81.0824500,248.0
44.80901000,-81.0812300,247.0
44.80958000,-81.0805900,252.0
44.80975000,-81.0801700,251.0
44.81014000,-81.0797700,254.0
44.81041000,-81.0791000,250.0
44.81138000,-81.0778000,255.0
44.81205000,-81.0767300,251.0
44.81267000,-81.0758300,252.0
44.81323000,-81.0751100,253.0
44.81411000,-81.0740100,257.0
44.81430000,-81.0734000,250.0
44.81500000,-81.0724300,251.0
44.81523000,-81.0723000,254.0
44.81556000,-81.0718000,254.0
44.81617000,-81.0711600,255.0
44.81632000,-81.0710700,259.0
44.81688000,-81.0702900,256.0
44.81721000,-81.0697900,251.0
44.81800000,-81.0689400,258.0
44.81835000,-81.0686700,261.0
44.81896000,-81.0678900,261.0
44.81921000,-81.0672700,255.0
44.81987000,-81.0663900,252.0
44.82075000,-81.0656000,257.0
44.82125000,-81.0649400,251.0
44.82201000,-81.0642000,258.0
44.82279000,-81.0630700,256.0
44.82382000,-81.0622300,263.0
44.82390000,-81.0619100,260.0
44.82414000,-81.0617900,262.0
44.82565000,-81.0603000,265.0
44.82620000,-81.0592400,255.0
44.82654000,-81.0592400,267.0
44.82688000,-81.0585400,264.0
44.82868000,-81.0564600,268.0
44.82948000,-81.0554200,270.0
44.83003000,-81.0550600,278.0
44.83087000,-81.0537100,273.0
44.83130000,-81.0529400,272.0
