Latitude,Longitude,Elevation
43.19167000,-79.5651100,106.0
43.19166000,-79.5651100,106.0
43.19136000,-79.5651900,112.0
43.19100000,-79.5650900,115.0
43.19075000,-79.5650600,117.0
43.19049000,-79.5650700,121.0
43.19042000,-79.5651100,122.0
43.19027000,-79.5651300,123.0
43.19014000,-79.5652900,127.0
43.18999000,-79.5654500,130.0
43.18973000,-79.5655400,127.0
43.18965000,-79.5656700,129.0
43.18961000,-79.5657300,130.0
43.18946000,-79.5659300,133.0
43.18949000,-79.5660900,137.0
43.18957000,-79.5661600,141.0
43.18966000,-79.5661300,141.0
43.18974000,-79.5661200,142.0
43.18975000,-79.5662100,146.0
43.18972000,-79.5662700,147.0
43.18970000,-79.5663100,148.0
43.18976000,-79.5663400,151.0
43.18988000,-79.5663900,156.0
43.18986000,-79.5665100,159.0
43.18980000,-79.5666200,160.0
43.18972000,-79.5667100,161.0
43.18967000,-79.5668700,164.0
43.18961000,-79.5669900,164.0
43.18954000,-79.5671000,164.0
43.18950000,-79.5672900,167.0
43.18923000,-79.5674600,165.0
43.18922000,-79.5675700,168.0
43.18895000,-79.5677100,168.0
43.18877000,-79.5676400,163.0
43.18850000,-79.5675600,158.0
43.18842000,-79.5675900,158.0
43.18839000,-79.5676000,158.0
43.18824000,-79.5677300,159.0
43.18815000,-79.5681000,163.0
43.18796000,-79.5684400,165.0
43.18785000,-79.5688700,169.0
43.18773000,-79.5692100,171.0
43.18748000,-79.5694200,171.0
43.18741000,-79.5695800,172.0
43.18736000,-79.5698100,175.0
43.18724000,-79.5699900,177.0
43.18708000,-79.5703100,180.0
43.18697000,-79.5705900,182.0
43.18695000,-79.5707600,186.0
43.18702000,-79.5709200,190.0
43.18714000,-79.5708800,191.0
43.18725000,-79.5707000,190.0
43.18739000,-79.5704400,188.0
43.18776000,-79.5699500,185.0
43.18821000,-79.5695600,190.0
43.18857000,-79.5689000,189.0
43.18889000,-79.5684800,190.0
43.18904000,-79.5683900,192.0
43.18911000,-79.5683500,192.0
43.18929000,-79.5682800,194.0
43.18949000,-79.5680700,194.0
43.18987000,-79.5677600,193.0
43.19010000,-79.5674500,189.0
43.19044000,-79.5672300,185.0
43.19051000,-79.5674400,190.0
43.19059000,-79.5677200,194.0
43.19061000,-79.5680800,196.0
43.19070000,-79.5689500,197.0
43.19074000,-79.5697300,194.0
43.19075000,-79.5698200,193.0
43.19067000,-79.5708300,192.0
43.19019000,-79.5711200,199.0
43.18998000,-79.5715100,198.0
43.19007000,-79.5718200,196.0
43.19003000,-79.5719200,196.0
43.18997000,-79.5720700,196.0
43.18974000,-79.5722500,196.0
43.18968000,-79.5722900,196.0
43.18950000,-79.5724000,196.0
43.18893000,-79.5726600,193.0
43.18840000,-79.5726800,196.0
43.18822000,-79.5727100,196.0
43.18803000,-79.5728400,196.0
43.18796000,-79.5732700,196.0
43.18795000,-79.5733400,195.0
43.18792000,-79.5738300,195.0
43.18785000,-79.5740600,196.0
43.18787000,-79.5744700,197.0
43.18801000,-79.5749600,198.0
43.18806000,-79.5751000,198.0
43.18817000,-79.5753900,197.0
43.18821000,-79.5754700,197.0
43.18833000,-79.5758100,196.0
43.18785000,-79.5760100,196.0
43.18738000,-79.5762100,196.0
43.18690000,-79.5764100,196.0
43.18589000,-79.5768400,196.0
43.18585000,-79.5768500,196.0
43.18582000,-79.5768700,196.0
43.18586000,-79.5770000,196.0
43.18595000,-79.5772900,197.0
43.18609000,-79.5779800,198.0
43.18624000,-79.5786700,200.0
43.18639000,-79.5793500,197.0
43.18653000,-79.5800400,198.0
43.18663000,-79.5805200,198.0
43.18679000,-79.5812700,196.0
43.18696000,-79.5820100,192.0
43.18712000,-79.5827600,195.0
43.18728000,-79.5834500,197.0
43.18744000,-79.5841400,196.0
43.18759000,-79.5848600,197.0
43.18765000,-79.5852700,197.0
43.18765000,-79.5856600,198.0
43.18757000,-79.5863000,198.0
43.18756000,-79.5863400,198.0
43.18739000,-79.5874400,202.0
43.18734000,-79.5878600,203.0
43.18731000,-79.5881800,203.0
43.18730000,-79.5890700,204.0
43.18730000,-79.5898300,205.0
