Latitude,Longitude,Elevation
43.50635000,-79.9610300,273.0
43.50669000,-79.9608300,273.0
43.50695000,-79.9607800,272.0
43.50716000,-79.9608000,271.0
43.50752000,-79.9611900,271.0
43.50762000,-79.9612500,272.0
43.50808000,-79.9611200,267.0
43.50826000,-79.9612000,267.0
43.50847000,-79.9611800,270.0
43.50861000,-79.9610700,272.0
43.50865000,-79.9606000,275.0
43.50875000,-79.9602600,279.0
43.50875000,-79.9596900,277.0
43.50873000,-79.9591700,273.0
43.50869000,-79.9586300,269.0
43.50875000,-79.9582600,269.0
43.50889000,-79.9578200,269.0
43.50926000,-79.9576500,273.0
43.50959000,-79.9574400,274.0
43.50971000,-79.9575400,273.0
43.50976000,-79.9576400,274.0
43.50976000,-79.9578600,273.0
43.50981000,-79.9580800,273.0
43.50988000,-79.9582400,274.0
43.50996000,-79.9585000,275.0
43.51008000,-79.9588100,277.0
43.51016000,-79.9588600,278.0
43.51025000,-79.9592000,282.0
43.51035000,-79.9592600,286.0
43.51046000,-79.9594000,292.0
43.51087000,-79.9594400,301.0
43.51117000,-79.9593800,303.0
43.51128000,-79.9594500,304.0
43.51134000,-79.9595600,305.0
43.51137000,-79.9598900,306.0
43.51150000,-79.9601800,306.0
43.51163000,-79.9603500,307.0
43.51182000,-79.9604200,308.0
43.51219000,-79.9604900,308.0
43.51253000,-79.9604200,307.0
43.51273000,-79.9601600,307.0
43.51284000,-79.9599700,307.0
43.51307000,-79.9598400,306.0
43.51330000,-79.9598800,308.0
43.51355000,-79.9599000,308.0
43.51375000,-79.9598500,308.0
43.51386000,-79.9595300,307.0
43.51405000,-79.9592900,306.0
43.51443000,-79.9592000,307.0
43.51469000,-79.9590700,309.0
43.51493000,-79.9590500,308.0
43.51527000,-79.9589800,305.0
43.51549000,-79.9588900,305.0
43.51576000,-79.9587000,306.0
43.51600000,-79.9584900,306.0
43.51633000,-79.9581400,306.0
43.51644000,-79.9579000,307.0
43.51648000,-79.9576200,306.0
43.51654000,-79.9573900,305.0
43.51680000,-79.9571600,304.0
43.51702000,-79.9572400,305.0
43.51723000,-79.9570700,305.0
43.51736000,-79.9567900,305.0
43.51740000,-79.9565600,305.0
43.51749000,-79.9563600,305.0
43.51758000,-79.9563500,305.0
43.51787000,-79.9563500,305.0
43.51801000,-79.9563500,304.0
43.51811000,-79.9563300,303.0
43.51819000,-79.9563700,303.0
43.51820000,-79.9565300,304.0
43.51824000,-79.9565900,303.0
43.51830000,-79.9565900,303.0
43.51846000,-79.9566100,302.0
43.51869000,-79.9566500,302.0
43.51892000,-79.9567000,303.0
43.51901000,-79.9567800,303.0
43.51908000,-79.9567700,304.0
43.51929000,-79.9566200,304.0
43.51943000,-79.9565800,303.0
43.51958000,-79.9565200,303.0
43.51967000,-79.9564000,302.0
43.51987000,-79.9562800,302.0
43.51998000,-79.9562100,301.0
43.52005000,-79.9561100,300.0
43.52025000,-79.9560700,299.0
43.52037000,-79.9561500,300.0
43.52048000,-79.9562100,301.0
43.52052000,-79.9563000,302.0
43.52063000,-79.9565000,304.0
43.52093000,-79.9565500,305.0
43.52109000,-79.9566600,308.0
43.52124000,-79.9568400,309.0
43.52133000,-79.9567800,309.0
43.52139000,-79.9568200,310.0
43.52192000,-79.9564500,314.0
43.52245000,-79.9560800,313.0
43.52265000,-79.9560500,312.0
43.52253000,-79.9560600,312.0
43.52291000,-79.9561100,313.0
43.52355000,-79.9561400,313.0
43.52382000,-79.9561800,311.0
43.52404000,-79.9563000,315.0
43.52447000,-79.9563500,315.0
43.52467000,-79.9563400,315.0
43.52498000,-79.9563400,313.0
43.52523000,-79.9563900,312.0
43.52537000,-79.9564100,312.0
43.52567000,-79.9564200,312.0
43.52621000,-79.9563400,311.0
43.52641000,-79.9563000,311.0
43.52660000,-79.9562700,310.0
43.52679000,-79.9562500,310.0
43.52696000,-79.9562300,310.0
43.52716000,-79.9562200,311.0
43.52732000,-79.9562300,312.0
43.52748000,-79.9562400,314.0
43.52763000,-79.9563000,316.0
43.52774000,-79.9563300,317.0
43.52800000,-79.9563400,317.0
43.52812000,-79.9563500,317.0
43.52840000,-79.9563100,316.0
43.52849000,-79.9563300,316.0
43.52867000,-79.9563400,316.0
43.52893000,-79.9563600,317.0
43.52905000,-79.9563600,317.0
43.52939000,-79.9563900,317.0
43.52961000,-79.9564500,317.0
43.52971000,-79.9564900,318.0
43.53001000,-79.9564800,321.0
43.53037000,-79.9563700,319.0
43.53060000,-79.9561300,314.0
43.53077000,-79.9559800,312.0
43.53101000,-79.9558900,312.0
43.53131000,-79.9558100,312.0
43.53184000,-79.9557500,316.0
43.53214000,-79.9557200,317.0
43.53238000,-79.9556800,318.0
43.53307000,-79.9556500,320.0
43.53329000,-79.9556600,324.0
43.53364000,-79.9556900,329.0
43.53394000,-79.9556900,331.0
43.53416000,-79.9556900,333.0
43.53443000,-79.9556600,334.0
43.53467000,-79.9556400,336.0
43.53507000,-79.9554800,334.0
43.53522000,-79.9554000,332.0
43.53547000,-79.9553700,329.0
43.53583000,-79.9553000,327.0
43.53608000,-79.9552400,327.0
43.53640000,-79.9552300,329.0
43.53667000,-79.9551600,330.0
43.53700000,-79.9549600,326.0
43.53736000,-79.9547700,323.0
43.53746000,-79.9547100,322.0
43.53765000,-79.9548900,323.0
43.53790000,-79.9547300,319.0
43.53801000,-79.9545300,317.0
43.53827000,-79.9542800,319.0
43.53845000,-79.9540500,318.0
43.53871000,-79.9539100,321.0
43.53895000,-79.9538300,324.0
43.53932000,-79.9537200,328.0
43.53970000,-79.9535900,330.0
43.54009000,-79.9535500,331.0
43.54040000,-79.9535300,332.0
43.54058000,-79.9535600,333.0
43.54073000,-79.9535500,334.0
43.54094000,-79.9535100,333.0
43.54123000,-79.9535000,331.0
43.54146000,-79.9535900,331.0
43.54164000,-79.9536500,331.0
43.54181000,-79.9537300,332.0
43.54200000,-79.9537600,331.0
43.54215000,-79.9536700,328.0
43.54225000,-79.9537100,327.0
43.54241000,-79.9537300,326.0
43.54250000,-79.9537800,326.0
43.54277000,-79.9537700,325.0
43.54292000,-79.9538100,325.0
43.54304000,-79.9538100,325.0
43.54309000,-79.9537700,323.0
43.54330000,-79.9537600,321.0
43.54355000,-79.9538400,320.0
43.54371000,-79.9538500,319.0
43.54389000,-79.9538400,317.0
43.54402000,-79.9538700,318.0
43.54412000,-79.9538900,318.0
43.54430000,-79.9540000,318.0
43.54437000,-79.9540700,319.0
43.54449000,-79.9541000,318.0
43.54454000,-79.9540700,317.0
43.54476000,-79.9540800,316.0
43.54501000,-79.9542600,320.0
43.54518000,-79.9544700,324.0
43.54541000,-79.9546400,325.0
43.54550000,-79.9548100,327.0
43.54565000,-79.9548900,327.0
43.54585000,-79.9547600,322.0
43.54601000,-79.9548300,321.0
43.54613000,-79.9549400,322.0
43.54664000,-79.9550100,318.0
43.54673000,-79.9550800,318.0
43.54688000,-79.9551400,318.0
43.54728000,-79.9554800,326.0
43.54746000,-79.9555400,329.0
43.54768000,-79.9556400,331.0
43.54806000,-79.9556800,330.0
43.54815000,-79.9557000,330.0
43.54825000,-79.9556700,330.0
43.54842000,-79.9556900,330.0
43.54861000,-79.9556800,331.0
43.54881000,-79.9556800,333.0
43.54903000,-79.9556700,334.0
43.54913000,-79.9555800,334.0
43.54925000,-79.9554600,332.0
43.54939000,-79.9554200,331.0
43.54959000,-79.9554500,329.0
43.54992000,-79.9553900,329.0
43.55021000,-79.9553800,330.0
43.55052000,-79.9554800,333.0
43.55100000,-79.9555900,333.0
43.55123000,-79.9554000,331.0
43.55154000,-79.9553100,327.0
43.55175000,-79.9552900,325.0
43.55200000,-79.9553200,323.0
43.55213000,-79.9555500,324.0
43.55239000,-79.9558400,324.0
43.55269000,-79.9561600,326.0
43.55282000,-79.9562300,326.0
43.55301000,-79.9564500,328.0
43.55319000,-79.9566000,326.0
43.55336000,-79.9567600,325.0
43.55354000,-79.9569200,323.0
43.55360000,-79.9570700,324.0
43.55371000,-79.9572200,324.0
43.55380000,-79.9575000,325.0
43.55383000,-79.9578400,328.0
43.55389000,-79.9582400,330.0
43.55412000,-79.9584900,332.0
43.55428000,-79.9585100,332.0
43.55452000,-79.9585500,332.0
43.55479000,-79.9585700,331.0
43.55494000,-79.9588400,332.0
43.55515000,-79.9588800,332.0
43.55545000,-79.9589000,331.0
43.55555000,-79.9590500,331.0
43.55572000,-79.9591200,331.0
43.55601000,-79.9590500,330.0
43.55615000,-79.9590100,330.0
43.55636000,-79.9589700,328.0
43.55656000,-79.9589000,327.0
43.55697000,-79.9588700,326.0
43.55740000,-79.9592200,332.0
43.55773000,-79.9593800,332.0
43.55803000,-79.9594100,332.0
43.55815000,-79.9594300,331.0
43.55848000,-79.9594500,332.0
43.55876000,-79.9596600,332.0
43.55917000,-79.9597700,332.0
43.55945000,-79.9596900,332.0
43.55973000,-79.9595900,332.0
43.55990000,-79.9596800,332.0
43.56003000,-79.9597600,333.0
43.56024000,-79.9597200,333.0
43.56067000,-79.9595800,332.0
43.56079000,-79.9595700,331.0
43.56094000,-79.9596300,332.0
43.56130000,-79.9596000,330.0
43.56166000,-79.9598200,332.0
43.56176000,-79.9599900,334.0
43.56201000,-79.9599500,335.0
43.56231000,-79.9599700,335.0
43.56247000,-79.9599900,335.0
43.56274000,-79.9600500,333.0
43.56319000,-79.9601300,331.0
43.56336000,-79.9601700,330.0
43.56346000,-79.9602400,331.0
43.56362000,-79.9604200,332.0
43.56387000,-79.9604900,333.0
43.56400000,-79.9606300,335.0
43.56430000,-79.9606800,335.0
43.56459000,-79.9606600,334.0
43.56474000,-79.9606500,335.0
43.56483000,-79.9607100,336.0
43.56511000,-79.9607500,337.0
43.56528000,-79.9608000,337.0
43.56553000,-79.9607900,334.0
43.56582000,-79.9609500,333.0
43.56642000,-79.9612200,331.0
43.56658000,-79.9611300,329.0
43.56676000,-79.9612000,329.0
43.56687000,-79.9613100,329.0
43.56722000,-79.9614900,333.0
43.56747000,-79.9615800,332.0
43.56803000,-79.9613600,332.0
43.56815000,-79.9614300,332.0
43.56843000,-79.9614300,330.0
43.56858000,-79.9615200,329.0
43.56883000,-79.9615600,326.0
43.56895000,-79.9616900,326.0
43.56900000,-79.9620000,331.0
43.56908000,-79.9621300,333.0
43.56956000,-79.9623700,336.0
43.56995000,-79.9624300,336.0
43.57025000,-79.9626300,338.0
43.57072000,-79.9627600,336.0
43.57105000,-79.9634000,341.0
43.57119000,-79.9635000,342.0
43.57137000,-79.9635100,341.0
43.57169000,-79.9637800,339.0
43.57186000,-79.9640100,337.0
43.57193000,-79.9643700,336.0
43.57200000,-79.9645800,335.0
43.57206000,-79.9647400,335.0
43.57221000,-79.9650000,334.0
43.57237000,-79.9653400,333.0
43.57266000,-79.9657400,331.0
43.57301000,-79.9661300,329.0
43.57324000,-79.9663400,328.0
43.57345000,-79.9666000,328.0
43.57368000,-79.9668900,329.0
43.57408000,-79.9672800,332.0
43.57418000,-79.9674900,332.0
43.57440000,-79.9680700,334.0
43.57443000,-79.9682400,334.0
43.57417000,-79.9683000,334.0
43.57436000,-79.9686600,334.0
43.57448000,-79.9689800,334.0
43.57449000,-79.9691500,334.0
43.57440000,-79.9693900,335.0
43.57418000,-79.9695500,337.0
43.57386000,-79.9697900,341.0
43.57361000,-79.9698900,342.0
43.57328000,-79.9700300,344.0
43.57298000,-79.9700100,346.0
