Latitude,Longitude,Elevation
43.76798000,-79.9430000,327.0
43.76800000,-79.9430300,327.0
43.76804000,-79.9429800,327.0
43.76813000,-79.9428700,327.0
43.76838000,-79.9428100,328.0
43.76857000,-79.9425600,327.0
43.76896000,-79.9424000,325.0
43.76917000,-79.9423200,323.0
43.76940000,-79.9422400,323.0
43.76953000,-79.9421900,323.0
43.76964000,-79.9421100,323.0
43.76978000,-79.9419800,324.0
43.76991000,-79.9418800,323.0
43.77007000,-79.9418300,322.0
43.77017000,-79.9417800,320.0
43.77021000,-79.9417600,320.0
43.77020000,-79.9416200,320.0
43.77017000,-79.9414900,320.0
43.77018000,-79.9413800,319.0
43.77011000,-79.9412700,319.0
43.77003000,-79.9411500,319.0
43.76998000,-79.9411000,318.0
43.76995000,-79.9409300,317.0
43.76992000,-79.9408000,316.0
43.76991000,-79.9407200,315.0
43.76994000,-79.9406700,315.0
43.77004000,-79.9406800,314.0
43.77015000,-79.9407000,313.0
43.77021000,-79.9407000,312.0
43.77027000,-79.9407200,312.0
43.77032000,-79.9407000,312.0
43.77036000,-79.9407400,312.0
43.77044000,-79.9408500,313.0
43.77053000,-79.9409600,314.0
43.77063000,-79.9410000,314.0
43.77068000,-79.9409600,314.0
43.77075000,-79.9409400,314.0
43.77079000,-79.9409500,314.0
43.77085000,-79.9409000,315.0
43.77084000,-79.9407900,315.0
43.77081000,-79.9406800,314.0
43.77083000,-79.9406100,314.0
43.77085000,-79.9405500,315.0
43.77088000,-79.9404800,315.0
43.77088000,-79.9403600,314.0
43.77087000,-79.9402300,314.0
43.77093000,-79.9401900,315.0
43.77098000,-79.9402300,315.0
43.77100000,-79.9403400,316.0
43.77104000,-79.9404500,316.0
43.77104000,-79.9405900,317.0
43.77100000,-79.9406600,317.0
43.77100000,-79.9407000,317.0
43.77104000,-79.9408200,317.0
43.77108000,-79.9409300,318.0
43.77112000,-79.9410700,319.0
43.77116000,-79.9411800,319.0
43.77121000,-79.9413100,319.0
43.77127000,-79.9413900,320.0
43.77135000,-79.9414400,321.0
43.77143000,-79.9413900,322.0
43.77151000,-79.9413600,322.0
43.77157000,-79.9413500,323.0
43.77169000,-79.9413400,324.0
43.77180000,-79.9413500,324.0
43.77189000,-79.9413700,325.0
43.77195000,-79.9413800,325.0
43.77201000,-79.9413200,325.0
43.77209000,-79.9412700,325.0
43.77216000,-79.9412500,325.0
43.77224000,-79.9413000,324.0
43.77229000,-79.9414000,324.0
43.77233000,-79.9415600,325.0
43.77238000,-79.9416400,326.0
43.77242000,-79.9417800,327.0
43.77248000,-79.9419000,328.0
43.77253000,-79.9420100,329.0
43.77261000,-79.9421100,329.0
43.77271000,-79.9421300,329.0
43.77279000,-79.9420700,329.0
43.77290000,-79.9420200,329.0
43.77304000,-79.9419900,330.0
43.77316000,-79.9419500,330.0
43.77327000,-79.9418900,330.0
43.77336000,-79.9418300,330.0
43.77348000,-79.9418000,329.0
43.77359000,-79.9417400,328.0
43.77371000,-79.9416700,328.0
43.77378000,-79.9416700,328.0
43.77384000,-79.9415700,327.0
43.77391000,-79.9414600,327.0
43.77399000,-79.9413800,326.0
43.77404000,-79.9413500,326.0
43.77412000,-79.9413800,326.0
43.77422000,-79.9414000,327.0
43.77428000,-79.9414000,327.0
43.77431000,-79.9413900,327.0
43.77436000,-79.9412900,327.0
43.77442000,-79.9412500,326.0
43.77448000,-79.9411700,326.0
43.77462000,-79.9412200,328.0
43.77474000,-79.9413100,329.0
43.77481000,-79.9414800,330.0
43.77482000,-79.9416900,331.0
43.77486000,-79.9419000,332.0
43.77488000,-79.9420000,333.0
43.77494000,-79.9420700,334.0
43.77497000,-79.9421000,334.0
43.77529000,-79.9425400,340.0
43.77560000,-79.9426100,341.0
43.77595000,-79.9427100,342.0
43.77608000,-79.9425900,342.0
43.77610000,-79.9425600,342.0
43.77626000,-79.9423800,340.0
43.77662000,-79.9419800,337.0
43.77698000,-79.9415900,336.0
43.77735000,-79.9411900,334.0
43.77771000,-79.9407900,331.0
43.77807000,-79.9404000,328.0
43.77843000,-79.9400000,327.0
43.77845000,-79.9399800,326.0
43.77885000,-79.9395500,322.0
43.77925000,-79.9391100,317.0
43.77947000,-79.9388800,316.0
43.77984000,-79.9384700,315.0
43.78020000,-79.9380600,313.0
43.78057000,-79.9376600,311.0
43.78093000,-79.9372500,307.0
43.78099000,-79.9373400,307.0
43.78136000,-79.9378500,314.0
43.78172000,-79.9383500,318.0
43.78205000,-79.9388000,319.0
43.78238000,-79.9392600,325.0
43.78271000,-79.9397100,329.0
43.78305000,-79.9401600,329.0
43.78338000,-79.9406100,328.0
43.78371000,-79.9410600,331.0
43.78404000,-79.9415200,333.0
43.78437000,-79.9419700,337.0
43.78471000,-79.9424300,345.0
43.78505000,-79.9428800,352.0
43.78539000,-79.9433400,357.0
43.78550000,-79.9433900,356.0
43.78564000,-79.9435600,355.0
43.78566000,-79.9438600,356.0
43.78587000,-79.9441500,360.0
43.78594000,-79.9442800,362.0
43.78598000,-79.9445400,365.0
43.78611000,-79.9446900,366.0
43.78637000,-79.9447900,366.0
43.78658000,-79.9450100,368.0
43.78715000,-79.9451000,366.0
43.78724000,-79.9452200,368.0
43.78732000,-79.9455300,373.0
43.78734000,-79.9458600,377.0
43.78749000,-79.9462100,379.0
43.78790000,-79.9467600,380.0
43.78799000,-79.9469500,378.0
43.78820000,-79.9471800,377.0
43.78823000,-79.9473700,377.0
43.78828000,-79.9474800,378.0
43.78849000,-79.9476500,378.0
43.78856000,-79.9477700,378.0
43.78867000,-79.9480300,379.0
43.78872000,-79.9483600,379.0
43.78879000,-79.9484000,379.0
43.78907000,-79.9488500,378.0
43.78935000,-79.9490900,378.0
43.78970000,-79.9491800,379.0
43.79005000,-79.9496600,381.0
43.79044000,-79.9499300,379.0
43.79058000,-79.9501700,379.0
43.79077000,-79.9506900,381.0
43.79282000,-79.9532600,380.0
43.79296000,-79.9536100,383.0
43.79346000,-79.9541900,381.0
43.79379000,-79.9547000,379.0
43.79409000,-79.9549800,379.0
43.79421000,-79.9552500,380.0
43.79426000,-79.9555400,380.0
43.79446000,-79.9559200,380.0
43.79484000,-79.9563100,379.0
43.79507000,-79.9564400,379.0
43.79528000,-79.9567900,379.0
43.79542000,-79.9568900,379.0
43.79554000,-79.9569600,379.0
43.79600000,-79.9575000,379.0
43.79642000,-79.9580900,380.0
43.79683000,-79.9586800,378.0
43.79725000,-79.9592700,378.0
43.79753000,-79.9595900,377.0
43.79797000,-79.9602900,377.0
43.79835000,-79.9607400,380.0
43.79872000,-79.9611800,384.0
43.79917000,-79.9617900,389.0
43.79962000,-79.9624000,389.0
43.80003000,-79.9628000,393.0
43.80015000,-79.9632700,401.0
43.80028000,-79.9635500,403.0
43.80032000,-79.9637900,405.0
43.79994000,-79.9638500,411.0
43.79987000,-79.9638900,412.0
43.79980000,-79.9639900,412.0
43.79971000,-79.9641600,413.0
43.79961000,-79.9643300,412.0
43.79957000,-79.9643900,412.0
43.79941000,-79.9646100,412.0
43.79903000,-79.9650300,413.0
43.79865000,-79.9654500,413.0
43.79827000,-79.9658600,416.0
43.79788000,-79.9662800,414.0
43.79750000,-79.9667000,414.0
43.79712000,-79.9671200,415.0
43.79689000,-79.9673800,416.0
43.79683000,-79.9674400,417.0
43.79623000,-79.9680700,423.0
43.79611000,-79.9684300,426.0
43.79591000,-79.9690600,435.0
43.79571000,-79.9696900,443.0
43.79551000,-79.9703200,443.0
43.79543000,-79.9705000,443.0
43.79519000,-79.9707900,443.0
43.79480000,-79.9712100,444.0
43.79442000,-79.9716300,447.0
43.79403000,-79.9720500,448.0
43.79364000,-79.9724700,448.0
43.79126000,-79.9750700,449.0
43.79172000,-79.9757700,446.0
43.79229000,-79.9764900,443.0
43.79240000,-79.9766800,443.0
43.79245000,-79.9766900,443.0
43.79255000,-79.9768500,443.0
43.79307000,-79.9775200,446.0
43.79337000,-79.9780000,446.0
43.79377000,-79.9783900,446.0
43.79419000,-79.9789900,445.0
43.79468000,-79.9796100,448.0
43.79502000,-79.9800300,449.0
43.79530000,-79.9804300,448.0
43.79561000,-79.9807700,445.0
43.79585000,-79.9811300,447.0
43.79599000,-79.9815800,450.0
43.79611000,-79.9816400,450.0
43.79642000,-79.9821200,446.0
43.79665000,-79.9822700,443.0
43.79681000,-79.9824200,442.0
43.79691000,-79.9825800,442.0
43.79705000,-79.9829300,444.0
43.79739000,-79.9833500,445.0
43.79743000,-79.9834400,444.0
43.79771000,-79.9836000,443.0
43.79778000,-79.9837700,441.0
43.79789000,-79.9839900,439.0
43.79829000,-79.9844900,438.0
43.79859000,-79.9848300,438.0
43.79865000,-79.9848900,437.0
43.79872000,-79.9850500,436.0
43.79887000,-79.9852200,433.0
43.79898000,-79.9853700,433.0
43.79908000,-79.9854700,432.0
43.79923000,-79.9856200,432.0
43.79948000,-79.9860000,429.0
43.79966000,-79.9862600,428.0
43.79969000,-79.9863100,428.0
43.80026000,-79.9870100,427.0
43.80032000,-79.9870500,427.0
43.80050000,-79.9874500,427.0
43.80081000,-79.9876800,425.0
43.80092000,-79.9879600,421.0
43.80109000,-79.9882400,409.0
43.80131000,-79.9881500,406.0
43.80145000,-79.9881700,402.0
43.80137000,-79.9885100,393.0
43.80145000,-79.9887400,386.0
43.80168000,-79.9888800,378.0
43.80195000,-79.9893300,369.0
43.80208000,-79.9895400,366.0
43.80245000,-79.9900400,355.0
43.80287000,-79.9905200,336.0
43.80292000,-79.9905700,334.0
43.80333000,-79.9911600,315.0
43.80337000,-79.9912200,314.0
43.80410000,-79.9923100,309.0
43.80402000,-79.9924600,309.0
43.80375000,-79.9929400,311.0
43.80367000,-79.9930600,312.0
43.80347000,-79.9933300,312.0
43.80320000,-79.9937200,311.0
43.80299000,-79.9940900,310.0
43.80283000,-79.9943300,309.0
43.80276000,-79.9944400,309.0
43.80283000,-79.9945300,309.0
43.80293000,-79.9946600,309.0
43.80305000,-79.9948300,312.0
43.80305000,-79.9949000,312.0
43.80307000,-79.9949900,314.0
43.80305000,-79.9951200,315.0
43.80301000,-79.9952400,316.0
43.80275000,-79.9960400,322.0
43.80271000,-79.9962200,323.0
43.80268000,-79.9963900,323.0
43.80268000,-79.9965300,323.0
43.80270000,-79.9966900,324.0
43.80273000,-79.9967700,324.0
43.80276000,-79.9968600,324.0
43.80420000,-79.9981500,324.0
43.80435000,-79.9982800,323.0
43.80448000,-79.9983000,323.0
43.80461000,-79.9982800,324.0
43.80547000,-79.9981500,322.0
43.80568000,-79.9981400,325.0
43.80574000,-79.9982000,325.0
43.80585000,-79.9983400,323.0
43.80639000,-79.9990500,322.0
43.80668000,-79.9993400,320.0
43.80741000,-80.0000000,74.0
43.80796000,-80.0004900,323.0
43.80894000,-80.0013400,329.0
43.80956000,-80.0017500,336.0
43.80993000,-80.0018800,338.0
43.81004000,-80.0019100,338.0
43.81057000,-80.0021400,338.0
43.81069000,-80.0021800,338.0
43.81120000,-80.0026900,339.0
43.81139000,-80.0029800,342.0
43.81110000,-80.0040000,341.0
43.81112000,-80.0043100,340.0
43.81130000,-80.0046500,340.0
43.81147000,-80.0050100,342.0
43.81151000,-80.0053200,342.0
43.81171000,-80.0056800,344.0
43.81190000,-80.0061600,345.0
43.81202000,-80.0067100,344.0
43.81211000,-80.0071700,342.0
43.81206000,-80.0076300,339.0
43.81205000,-80.0080200,335.0
43.81208000,-80.0084700,335.0
43.81224000,-80.0090000,335.0
43.81249000,-80.0093400,339.0
43.81273000,-80.0097100,341.0
43.81305000,-80.0101200,343.0
43.81340000,-80.0105500,347.0
43.81358000,-80.0108000,346.0
43.81365000,-80.0109400,346.0
43.81374000,-80.0112000,343.0
43.81396000,-80.0119100,341.0
43.81419000,-80.0123100,346.0
43.81435000,-80.0132700,344.0
43.81422000,-80.0140000,339.0
43.81422000,-80.0141600,339.0
43.81415000,-80.0144600,335.0
43.81413000,-80.0149400,332.0
43.81408000,-80.0151400,331.0
43.81407000,-80.0151700,331.0
43.81399000,-80.0154800,330.0
43.81398000,-80.0156400,330.0
43.81420000,-80.0157200,330.0
43.81431000,-80.0157600,331.0
43.81443000,-80.0157700,332.0
43.81453000,-80.0157500,334.0
43.81468000,-80.0157300,337.0
43.81479000,-80.0157200,339.0
43.81488000,-80.0156900,342.0
43.81499000,-80.0156600,344.0
43.81516000,-80.0155500,349.0
43.81524000,-80.0155000,351.0
43.81538000,-80.0154300,354.0
43.81549000,-80.0153800,356.0
43.81551000,-80.0153600,357.0
43.81557000,-80.0153000,358.0
43.81566000,-80.0152400,360.0
43.81570000,-80.0151700,362.0
43.81577000,-80.0151300,363.0
43.81586000,-80.0151000,366.0
43.81593000,-80.0149300,369.0
43.81604000,-80.0147200,372.0
43.81614000,-80.0146600,374.0
43.81628000,-80.0146100,378.0
43.81639000,-80.0146900,379.0
43.81655000,-80.0147900,383.0
43.81665000,-80.0148700,385.0
43.81671000,-80.0149700,386.0
43.81674000,-80.0150500,386.0
43.81680000,-80.0151800,387.0
43.81686000,-80.0153700,386.0
43.81694000,-80.0155000,386.0
43.81703000,-80.0155000,388.0
43.81715000,-80.0154700,391.0
43.81721000,-80.0153700,394.0
43.81723000,-80.0152500,396.0
43.81725000,-80.0152100,396.0
43.81727000,-80.0151900,397.0
43.81750000,-80.0149200,401.0
43.81730000,-80.0144200,402.0
43.81709000,-80.0138300,401.0
43.81699000,-80.0136300,401.0
43.81684000,-80.0133900,399.0
43.81665000,-80.0133900,398.0
43.81643000,-80.0132800,395.0
43.81620000,-80.0130200,394.0
43.81609000,-80.0128700,395.0
43.81607000,-80.0126600,397.0
43.81609000,-80.0123800,399.0
43.81625000,-80.0121400,399.0
43.81634000,-80.0119300,398.0
43.81642000,-80.0115800,396.0
43.81653000,-80.0112200,397.0
