Latitude,Longitude,Elevation
44.49996000,-80.6329800,391.0
44.50057000,-80.6331300,389.0
44.50059000,-80.6338300,388.0
44.50060000,-80.6345300,387.0
44.50062000,-80.6352300,389.0
44.50054000,-80.6359100,390.0
44.50046000,-80.6365800,390.0
44.50033000,-80.6372800,392.0
44.50019000,-80.6379800,393.0
44.50029000,-80.6382300,394.0
44.50105000,-80.6384200,394.0
44.50106000,-80.6384300,394.0
44.50164000,-80.6385700,391.0
44.50222000,-80.6387000,392.0
44.50280000,-80.6388400,393.0
44.50295000,-80.6386800,392.0
44.50317000,-80.6389400,391.0
44.50367000,-80.6394800,392.0
44.50416000,-80.6400200,395.0
44.50448000,-80.6404800,398.0
44.50480000,-80.6409400,397.0
44.50484000,-80.6411800,398.0
44.50540000,-80.6421600,399.0
44.50553000,-80.6422300,397.0
44.50583000,-80.6430000,391.0
44.50587000,-80.6436600,397.0
44.50592000,-80.6443300,396.0
44.50596000,-80.6449900,394.0
44.50595000,-80.6456700,390.0
44.50594000,-80.6463600,389.0
44.50593000,-80.6470400,387.0
44.50592000,-80.6477200,388.0
44.50579000,-80.6486800,398.0
44.50602000,-80.6492000,396.0
44.50596000,-80.6501400,394.0
44.50581000,-80.6513200,390.0
44.50553000,-80.6524000,387.0
44.50525000,-80.6533200,385.0
44.50501000,-80.6538800,384.0
44.50476000,-80.6544400,384.0
44.50486000,-80.6551200,386.0
44.50443000,-80.6558100,387.0
44.50400000,-80.6565000,385.0
44.50321000,-80.6569500,388.0
44.50250000,-80.6569500,386.0
44.50234000,-80.6575500,382.0
44.50219000,-80.6581400,378.0
44.50203000,-80.6587400,373.0
44.50157000,-80.6605000,367.0
44.50138000,-80.6614700,365.0
44.50124000,-80.6620000,364.0
44.50191000,-80.6621000,362.0
44.50224000,-80.6621100,359.0
44.50222000,-80.6628700,357.0
44.50206000,-80.6632700,356.0
44.50203000,-80.6635400,354.0
44.50216000,-80.6638100,352.0
44.50212000,-80.6642400,351.0
44.50186000,-80.6650100,355.0
44.50139000,-80.6652400,361.0
44.50090000,-80.6651000,367.0
44.50069000,-80.6656200,371.0
44.50049000,-80.6655600,372.0
44.50053000,-80.6658500,372.0
44.50027000,-80.6663500,377.0
44.50020000,-80.6669500,384.0
44.50055000,-80.6673500,391.0
44.50077000,-80.6672200,388.0
44.50107000,-80.6673300,386.0
44.50197000,-80.6679100,376.0
44.50244000,-80.6697300,377.0
44.50214000,-80.6723100,378.0
44.50225000,-80.6728000,372.0
44.50220000,-80.6747500,363.0
44.50246000,-80.6761700,365.0
44.50283000,-80.6767500,364.0
44.50329000,-80.6776100,363.0
44.50364000,-80.6794300,363.0
44.50375000,-80.6802500,365.0
44.50342000,-80.6814900,374.0
44.50329000,-80.6824400,372.0
44.50340000,-80.6831400,371.0
44.50325000,-80.6838900,372.0
44.50325000,-80.6842000,373.0
44.50334000,-80.6844400,376.0
44.50338000,-80.6848900,377.0
44.50362000,-80.6852700,381.0
44.50386000,-80.6853700,383.0
44.50398000,-80.6857600,385.0
44.50387000,-80.6862100,386.0
44.50390000,-80.6869200,385.0
44.50411000,-80.6876900,383.0
44.50392000,-80.6884300,387.0
44.50390000,-80.6889200,387.0
44.50428000,-80.6897500,378.0
44.50435000,-80.6904000,374.0
44.50426000,-80.6911500,375.0
44.50435000,-80.6914500,375.0
44.50435000,-80.6917900,374.0
44.50420000,-80.6922500,375.0
44.50373000,-80.6931000,364.0
44.50384000,-80.6936400,361.0
44.50345000,-80.6945800,358.0
44.50329000,-80.6955700,357.0
44.50345000,-80.6957200,356.0
44.50364000,-80.6956400,354.0
44.50379000,-80.6954200,352.0
44.50407000,-80.6954200,348.0
44.50435000,-80.6958500,345.0
44.50437000,-80.6960200,344.0
44.50456000,-80.6963200,341.0
44.50488000,-80.6963100,336.0
44.50508000,-80.6965800,331.0
44.50524000,-80.6965400,329.0
44.50554000,-80.6967400,324.0
44.50564000,-80.6971200,322.0
44.50557000,-80.6974400,323.0
44.50543000,-80.6974800,326.0
44.50547000,-80.6978000,329.0
44.50575000,-80.6987100,334.0
44.50600000,-80.6989800,333.0
44.50650000,-80.6990900,331.0
44.50682000,-80.6994100,330.0
44.50712000,-80.6999700,329.0
44.50686000,-80.7007000,323.0
44.50689000,-80.7015700,323.0
44.50725000,-80.7024600,315.0
44.50655000,-80.7054500,312.0
44.50153000,-80.7044000,358.0
44.50136000,-80.7042100,360.0
44.50121000,-80.7044000,359.0
44.50079000,-80.7043600,359.0
44.50072000,-80.7042900,359.0
44.50057000,-80.7044600,357.0
44.50051000,-80.7043200,358.0
44.50023000,-80.7043300,357.0
44.50005000,-80.7054000,347.0
44.49993000,-80.7060200,343.0
44.49969000,-80.7061300,346.0
44.49959000,-80.7063400,346.0
44.49956000,-80.7065500,345.0
44.49944000,-80.7068500,344.0
44.49941000,-80.7070900,342.0
44.49931000,-80.7072800,342.0
44.49916000,-80.7073900,344.0
44.49901000,-80.7076800,345.0
44.49876000,-80.7078500,348.0
44.49859000,-80.7077500,349.0
44.49840000,-80.7088100,352.0
44.49805000,-80.7095700,355.0
44.49810000,-80.7098000,354.0
44.49778000,-80.7105900,352.0
44.49772000,-80.7111200,353.0
44.49764000,-80.7115200,351.0
44.49744000,-80.7116600,353.0
44.49727000,-80.7119600,352.0
44.49729000,-80.7123500,345.0
44.49740000,-80.7124800,340.0
44.49798000,-80.7128000,326.0
44.49787000,-80.7139200,319.0
44.49791000,-80.7143400,317.0
44.49810000,-80.7147100,318.0
44.49814000,-80.7151800,319.0
44.49835000,-80.7155600,317.0
44.49860000,-80.7157600,317.0
44.49889000,-80.7161600,316.0
44.49894000,-80.7166200,317.0
44.49884000,-80.7176700,318.0
44.49881000,-80.7180100,318.0
44.49877000,-80.7191100,311.0
44.49847000,-80.7211900,301.0
44.49790000,-80.7210600,301.0
44.49759000,-80.7217500,303.0
44.49750000,-80.7217900,304.0
44.49747000,-80.7218800,305.0
44.49744000,-80.7219600,306.0
44.49723000,-80.7219000,308.0
44.49680000,-80.7215200,310.0
44.49674000,-80.7212500,311.0
44.49660000,-80.7212000,312.0
44.49664000,-80.7207700,310.0
44.49478000,-80.7203700,317.0
44.49474000,-80.7203300,317.0
44.49472000,-80.7203100,317.0
44.49467000,-80.7202600,317.0
44.49463000,-80.7201900,317.0
44.49460000,-80.7201300,317.0
44.49457000,-80.7200500,318.0
44.49454000,-80.7199700,318.0
44.49453000,-80.7198900,319.0
44.49452000,-80.7198100,319.0
44.49452000,-80.7197200,320.0
44.49452000,-80.7196400,322.0
44.49445000,-80.7196400,321.0
44.49420000,-80.7194300,321.0
44.49379000,-80.7188700,326.0
44.49353000,-80.7187800,326.0
44.49350000,-80.7185800,329.0
44.49338000,-80.7185500,330.0
44.49287000,-80.7184600,326.0
44.49254000,-80.7181400,325.0
44.49240000,-80.7175000,327.0
44.49246000,-80.7171800,330.0
44.49235000,-80.7166000,329.0
44.49208000,-80.7164700,325.0
44.49192000,-80.7159800,328.0
44.49203000,-80.7157200,332.0
44.49201000,-80.7152100,336.0
44.49181000,-80.7145200,346.0
44.49169000,-80.7143500,348.0
44.49151000,-80.7143400,345.0
44.49145000,-80.7141500,349.0
44.49132000,-80.7140000,349.0
44.49109000,-80.7138300,347.0
44.49106000,-80.7138100,347.0
44.49095000,-80.7136500,348.0
44.49079000,-80.7136600,345.0
44.49070000,-80.7135500,345.0
44.49071000,-80.7133800,347.0
44.49058000,-80.7133900,344.0
44.49057000,-80.7133100,344.0
44.49056000,-80.7132200,345.0
44.49050000,-80.7130900,346.0
44.49051000,-80.7127900,351.0
44.49042000,-80.7127300,349.0
44.49031000,-80.7125700,349.0
44.49031000,-80.7124800,350.0
44.49036000,-80.7124800,351.0
44.49036000,-80.7123600,353.0
44.49012000,-80.7119900,351.0
44.48989000,-80.7117700,353.0
44.48969000,-80.7117000,353.0
44.48944000,-80.7115100,354.0
44.48924000,-80.7115400,353.0
44.48905000,-80.7116200,353.0
44.48893000,-80.7116000,354.0
44.48884000,-80.7114500,355.0
44.48869000,-80.7115600,355.0
44.48862000,-80.7118100,356.0
44.48867000,-80.7118700,356.0
44.48870000,-80.7118900,356.0
44.48885000,-80.7119300,354.0
44.48889000,-80.7120200,354.0
44.48908000,-80.7120400,353.0
44.48913000,-80.7121400,353.0
44.48911000,-80.7123900,354.0
44.48924000,-80.7126000,354.0
44.48920000,-80.7127300,355.0
44.48909000,-80.7129600,358.0
44.48908000,-80.7130400,358.0
44.48925000,-80.7131200,356.0
44.48939000,-80.7133800,355.0
44.48941000,-80.7136600,356.0
44.48959000,-80.7138600,354.0
44.48963000,-80.7137200,352.0
44.48978000,-80.7138700,350.0
44.48980000,-80.7137200,348.0
44.48987000,-80.7138400,347.0
44.49006000,-80.7138400,341.0
44.49027000,-80.7141300,338.0
44.49079000,-80.7148200,336.0
44.49132000,-80.7153700,332.0
44.49141000,-80.7157400,331.0
44.49158000,-80.7162100,329.0
44.49163000,-80.7167800,328.0
44.49173000,-80.7170900,325.0
44.49170000,-80.7173400,325.0
44.49171000,-80.7173700,325.0
44.49186000,-80.7177800,322.0
44.49186000,-80.7181700,322.0
44.49192000,-80.7183300,322.0
44.49177000,-80.7185300,322.0
44.49177000,-80.7187800,321.0
44.49201000,-80.7193600,320.0
44.49202000,-80.7196800,319.0
44.49197000,-80.7199200,318.0
44.49208000,-80.7200400,317.0
44.49207000,-80.7203200,316.0
44.49224000,-80.7205000,316.0
44.49248000,-80.7207800,316.0
44.49272000,-80.7213500,315.0
44.49272000,-80.7215800,315.0
44.49294000,-80.7221000,314.0
44.49294000,-80.7223800,315.0
44.49276000,-80.7223700,316.0
44.49287000,-80.7226500,316.0
44.49290000,-80.7229400,316.0
44.49309000,-80.7231700,314.0
44.49358000,-80.7234600,315.0
44.49392000,-80.7236200,317.0
44.49405000,-80.7238100,319.0
44.49405000,-80.7240900,322.0
44.49407000,-80.7243000,325.0
44.49413000,-80.7244200,327.0
44.49422000,-80.7244400,327.0
44.49439000,-80.7246400,327.0
44.49446000,-80.7246300,327.0
44.49454000,-80.7247500,327.0
44.49460000,-80.7247500,326.0
44.49487000,-80.7246300,320.0
44.49521000,-80.7246200,313.0
44.49529000,-80.7247100,313.0
44.49536000,-80.7247100,312.0
44.49538000,-80.7246700,311.0
44.49540000,-80.7246700,311.0
44.49542000,-80.7247100,311.0
44.49549000,-80.7247100,310.0
44.49563000,-80.7248600,311.0
44.49570000,-80.7248400,310.0
44.49585000,-80.7248400,309.0
44.49589000,-80.7248800,309.0
44.49586000,-80.7249900,310.0
44.49592000,-80.7249900,310.0
44.49599000,-80.7249000,308.0
44.49609000,-80.7249000,307.0
44.49622000,-80.7249500,307.0
44.49657000,-80.7251600,307.0
44.49658000,-80.7252900,306.0
44.49683000,-80.7257400,305.0
44.49699000,-80.7258100,305.0
44.49707000,-80.7259800,305.0
44.49707000,-80.7262100,304.0
44.49718000,-80.7264000,304.0
44.49724000,-80.7269200,305.0
44.49740000,-80.7276000,303.0
44.49741000,-80.7280200,301.0
44.49756000,-80.7284000,300.0
44.49775000,-80.7289300,300.0
44.49777000,-80.7291900,300.0
44.49780000,-80.7294100,299.0
44.49787000,-80.7294800,299.0
44.49788000,-80.7296600,299.0
44.49776000,-80.7296600,300.0
44.49768000,-80.7299000,301.0
44.49774000,-80.7300500,300.0
44.49800000,-80.7304600,299.0
44.49799000,-80.7306900,298.0
44.49795000,-80.7307600,298.0
44.49807000,-80.7310500,299.0
44.49808000,-80.7312700,300.0
44.49810000,-80.7313600,300.0
44.49817000,-80.7314000,301.0
44.49826000,-80.7315400,301.0
44.49826000,-80.7315900,301.0
44.49836000,-80.7318500,303.0
44.49843000,-80.7318500,302.0
44.49843000,-80.7317900,302.0
44.49845000,-80.7317900,302.0
44.49851000,-80.7317200,301.0
44.49858000,-80.7317200,300.0
44.49863000,-80.7316600,299.0
44.49892000,-80.7316600,298.0
44.49903000,-80.7315500,297.0
44.49905000,-80.7316200,298.0
44.49896000,-80.7318200,299.0
44.49858000,-80.7352600,308.0
44.49851000,-80.7359100,307.0
44.49843000,-80.7365600,309.0
44.49836000,-80.7372200,315.0
44.49828000,-80.7378700,320.0
44.49821000,-80.7385200,322.0
44.49775000,-80.7384200,320.0
44.49729000,-80.7383300,316.0
44.49682000,-80.7382300,314.0
44.49636000,-80.7381400,314.0
44.49590000,-80.7380400,315.0
44.49544000,-80.7379500,321.0
44.49497000,-80.7378500,323.0
44.49451000,-80.7377500,324.0
44.49405000,-80.7376600,324.0
44.49359000,-80.7375600,321.0
44.49312000,-80.7374700,318.0
44.49266000,-80.7373700,315.0
44.49259000,-80.7381200,310.0
44.49246000,-80.7396100,306.0
44.49240000,-80.7403600,305.0
44.49233000,-80.7411100,302.0
44.49226000,-80.7417400,301.0
44.49219000,-80.7423700,300.0
44.49213000,-80.7430000,298.0
44.49206000,-80.7436300,296.0
44.49199000,-80.7442600,293.0
44.49192000,-80.7448900,291.0
44.49185000,-80.7455200,289.0
44.49178000,-80.7461500,287.0
44.49172000,-80.7467800,285.0
44.49165000,-80.7474100,284.0
44.49158000,-80.7480400,284.0
44.49155000,-80.7485400,287.0
44.49148000,-80.7490900,287.0
